timestamp rx_kb/s tx_kb/s
04:08:47 23 7
04:08:48 41 18
04:08:49 927 86760
04:08:50 2 1
04:08:51 879 76199
04:08:52 2 1874
04:08:53 873 76131
04:08:54 2 0
04:08:55 842 73914
04:08:56 262 140
04:08:57 520 71699
04:08:58 790 69822
04:08:59 4 0
04:09:00 893 67963
04:09:01 960 65419
04:09:02 0 0
04:09:03 856 62824
04:09:04 870 60693
04:09:05 0 0
04:09:06 829 58689
04:09:07 913 56745
04:09:08 114 52
04:09:09 784 54984
04:09:10 808 52367
04:09:11 842 48616
04:09:12 28 2098
04:09:13 798 48966
04:09:14 681 46762
04:09:15 5 2
04:09:16 746 45347
04:09:17 726 43161
04:09:18 2 1
04:09:19 881 41824
04:09:20 807 40166
04:09:21 5 1
04:09:22 764 39181
04:09:23 751 48283
04:09:24 112 8872
04:09:25 880 66287
04:09:26 0 0
04:09:27 907 64361
04:09:28 5 2
04:09:29 853 63065
04:09:30 0 0
04:09:31 944 62860
04:09:32 4 0
04:09:33 944 61523
04:09:34 0 0
04:09:35 938 60291
04:09:36 0 0
04:09:37 802 59130
04:09:38 786 58331
04:09:39 0 0
04:09:40 702 57518
04:09:42 768 56447
04:09:43 547 32351
04:09:44 284 23098
04:09:45 816 54874
04:09:46 416 3377
04:09:47 370 50486
04:09:48 920 52718
04:09:49 825 52246
04:09:50 0 0
04:09:51 893 51086
04:09:52 857 50397
04:09:53 910 49899
04:09:54 3 1
04:09:55 720 48719
04:09:56 713 48179
04:09:57 0 0
04:09:58 847 47252
04:09:59 706 46667
04:10:00 168 82
04:10:01 570 45743
04:10:02 717 45192
04:10:03 140 64
04:10:04 574 45216
04:10:05 663 44441
04:10:06 0 0
04:10:07 734 43888
04:10:08 720 43436
04:10:09 31 10
04:10:10 727 43040
04:10:11 722 41561
04:10:12 11 1772
04:10:13 890 42963
04:10:14 0 0
04:10:15 832 43173
04:10:16 4 0
04:10:17 927 43596
04:10:18 23 7
04:10:19 761 43847
04:10:20 0 0
04:10:21 753 44416
04:10:22 0 0
04:10:23 850 46268
04:10:24 0 0
04:10:25 838 47257
04:10:26 3 1
04:10:27 0 0
04:10:28 864 49009
04:10:29 763 51929
04:10:30 506 20253
04:10:31 240 35268
04:10:32 747 60641
04:10:33 701 63076
04:10:34 24 4538
04:10:35 825 77417
04:10:36 514 34614
04:10:37 459 52096
04:10:38 959 95201
04:10:39 3 0
04:10:40 902 94037
04:10:41 831 38691
04:10:42 0 0
04:10:43 647 38550
04:10:44 664 38675
04:10:45 404 5426
04:10:46 236 33147
04:10:47 654 39121
04:10:48 646 27930
04:10:49 143 11673
04:10:50 744 39335
04:10:51 187 89
04:10:52 623 39246
04:10:53 699 39805
04:10:54 0 0
04:10:55 801 40361
04:10:56 721 39975
04:10:57 12 3
04:10:58 838 40477
04:10:59 0 0
04:11:00 674 40433
04:11:01 642 41166
04:11:02 0 0
04:11:03 671 41000
04:11:04 0 0
04:11:05 661 41509
04:11:06 0 0
04:11:07 721 41838
04:11:08 12 3
04:11:09 701 42429
04:11:10 1 0
04:11:11 816 43133
04:11:12 7 1
04:11:13 657 28327
04:11:14 143 14859
04:11:15 158 73
04:11:16 672 43804
04:11:17 755 39198
04:11:18 60 5663
04:11:19 788 53775
04:11:20 802 56600
04:11:21 30 5330
04:11:22 864 66791
04:11:23 175 84
04:11:24 781 70537
04:11:25 1039 74661
04:11:26 0 0
04:11:27 1197 78289
04:11:28 1059 78055
04:11:29 0 0
04:11:30 853 79491
04:11:31 870 79987
04:11:32 4 1
04:11:33 1047 81345
04:11:34 653 47777
04:11:35 219 32492
04:11:36 811 79930
04:11:37 23 7
04:11:38 766 78895
04:11:39 689 77713
04:11:40 1 0
04:11:41 708 53514
04:11:42 686 37406
04:11:43 160 16308
04:11:44 801 56344
04:11:45 0 0
04:11:46 844 60190
04:11:47 981 66496
04:11:48 0 0
04:11:49 817 73176
04:11:50 0 0
04:11:51 923 82593
04:11:52 0 0
04:11:53 901 90652
04:11:54 0 0
04:11:55 832 99350
04:11:56 5 1
04:11:57 395 6737
04:11:58 527 97375
04:11:59 0 0
04:12:00 878 106697
04:12:01 0 0
04:12:02 955 107584
04:12:03 0 0
04:12:04 581 36229
04:12:05 413 71793
04:12:06 459 22462
04:12:07 391 43437
04:12:08 48 21
04:12:09 780 42246
04:12:10 786 42109
04:12:11 799 42277
04:12:12 11 3
04:12:13 898 42516
04:12:14 753 42639
04:12:15 1 0
04:12:16 789 42698
04:12:17 804 42874
04:12:18 0 0
04:12:19 861 43158
04:12:20 764 43167
04:12:21 1 1
04:12:22 828 43681
04:12:23 812 43714
04:12:24 754 43552
04:12:25 6 1
04:12:26 680 43892
04:12:27 788 44354
04:12:28 5 1
04:12:29 699 44332
04:12:30 795 44747
04:12:31 0 0
04:12:32 680 44848
04:12:33 532 11244
04:12:34 234 33865
04:12:35 723 45416
04:12:36 20 10
04:12:37 821 46070
04:12:38 807 46087
04:12:39 4 0
04:12:40 760 46817
04:12:41 0 0
04:12:42 812 47071
04:12:43 526 18143
04:12:44 195 29591
04:12:46 778 48850
04:12:47 8 2
04:12:48 152 66
04:12:49 739 49225
04:12:50 47 20
04:12:51 737 50173
04:12:52 0 0
04:12:53 800 50907
04:12:54 0 0
04:12:55 786 52037
04:12:56 0 0
04:12:57 868 53385
04:12:58 23 7
04:12:59 921 55168
04:13:00 0 0
04:13:01 819 56985
04:13:02 771 59470
04:13:03 0 0
04:13:04 772 62522
04:13:05 894 66548
04:13:06 0 0
04:13:07 925 90648
04:13:08 828 111947
04:13:09 1 0
04:13:10 860 118526
04:13:11 198 6562
04:13:12 573 95346
04:13:13 814 85391
04:13:14 0 0
04:13:15 944 93655
04:13:16 984 102232
04:13:17 0 0
04:13:18 988 107855
04:13:19 871 104959
04:13:20 15 5454
04:13:21 837 112530
04:13:22 0 0
04:13:23 943 114282
04:13:24 975 100681
04:13:25 93 14665
04:13:26 1092 117328
04:13:27 0 0
04:13:28 1099 106401
04:13:29 784 48787
04:13:30 2 1
04:13:31 775 49074
04:13:32 0 0
04:13:33 843 49188
04:13:34 828 49662
04:13:35 4 0
04:13:36 811 49806
04:13:37 0 0
04:13:38 837 49797
04:13:39 0 0
04:13:40 860 50179
04:13:41 0 0
04:13:42 746 50273
04:13:43 1 0
04:13:44 808 50361
04:13:45 5 1
04:13:46 0 0
04:13:47 813 50954
04:13:48 12 3
04:13:49 839 51404
04:13:50 0 0
04:13:51 781 51247
04:13:52 0 0
04:13:53 774 51788
04:13:54 0 0
04:13:55 830 51855
04:13:56 765 52284
04:13:57 12 3
04:13:58 993 54030
04:13:59 907 53100
04:14:00 822 51486
04:14:01 37 2216
04:14:02 801 53701
