plugin	wal_threads	phase	metric	value	unit
barman	32	pgbench	rows_updated_per_s	365788	rows_updated/s
barman	32	pgbench	tps	18289.380207	tps
barman	32	pgbench	duration_s	963	s
barman	32	wal_gen	total_gb	401.66	GB
barman	32	wal_gen	avg_rate_kb_s	469488	KB/s
barman	32	wal_during	avg_archive_segs_per_min	992	segs/min
barman	32	wal_during	avg_archive_mb_per_min	15872	MB/min
barman	32	wal_drain	drain_time_s	480+	s
barman	32	wal_drain	avg_rate_segs_per_min	1165	segs/min
barman	32	wal_drain	avg_drain_segs_per_min	1165	segs/min
barman	32	wal_drain	avg_drain_mb_per_min	18640	MB/min
opera	32	pgbench	rows_updated_per_s	390867	rows_updated/s
opera	32	pgbench	tps	19543.362240	tps
opera	32	pgbench	duration_s	962	s
opera	32	wal_gen	total_gb	400.42	GB
opera	32	wal_gen	avg_rate_kb_s	460244	KB/s
opera	32	wal_during	avg_archive_segs_per_min	1211	segs/min
opera	32	wal_during	avg_archive_mb_per_min	19376	MB/min
opera	32	wal_drain	drain_time_s	480+	s
opera	32	wal_drain	avg_rate_segs_per_min	1311	segs/min
opera	32	wal_drain	avg_drain_segs_per_min	1311	segs/min
opera	32	wal_drain	avg_drain_mb_per_min	20976	MB/min
dalibo	32	pgbench	rows_updated_per_s	402927	rows_updated/s
dalibo	32	pgbench	tps	20146.347599	tps
dalibo	32	pgbench	duration_s	964	s
dalibo	32	wal_gen	total_gb	388.47	GB
dalibo	32	wal_gen	avg_rate_kb_s	453759	KB/s
dalibo	32	wal_during	avg_archive_segs_per_min	212	segs/min
dalibo	32	wal_during	avg_archive_mb_per_min	3392	MB/min
dalibo	32	wal_drain	drain_time_s	480+	s
dalibo	32	wal_drain	avg_rate_segs_per_min	204	segs/min
dalibo	32	wal_drain	avg_drain_segs_per_min	204	segs/min
dalibo	32	wal_drain	avg_drain_mb_per_min	3264	MB/min
barman	1	restore	base_restore_s	79	s
barman	1	restore	total_restore_s	590	s
barman	1	restore	wal_replay_s	511	s
barman	1	restore	avg_fetch_segs_per_min	25063	segs/min
barman	1	restore	avg_replay_kb_s	97484	KB/s
opera	1	restore	base_restore_s	140	s
opera	1	restore	total_restore_s	650	s
opera	1	restore	wal_replay_s	510	s
opera	1	restore	avg_fetch_segs_per_min	26433	segs/min
opera	1	restore	avg_replay_kb_s	53157	KB/s
opera	8	restore	base_restore_s	152	s
opera	8	restore	total_restore_s	663	s
opera	8	restore	wal_replay_s	511	s
opera	8	restore	avg_fetch_segs_per_min	26433	segs/min
opera	8	restore	avg_replay_kb_s	85564	KB/s
opera	32	restore	base_restore_s	140	s
opera	32	restore	total_restore_s	651	s
opera	32	restore	wal_replay_s	511	s
opera	32	restore	avg_fetch_segs_per_min	26433	segs/min
opera	32	restore	avg_replay_kb_s	106739	KB/s
dalibo	1	restore	base_restore_s	139	s
dalibo	1	restore	total_restore_s	649	s
dalibo	1	restore	wal_replay_s	510	s
dalibo	1	restore	avg_fetch_segs_per_min	5534	segs/min
dalibo	1	restore	avg_replay_kb_s	51459	KB/s
dalibo	8	restore	base_restore_s	41	s
dalibo	8	restore	total_restore_s	551	s
dalibo	8	restore	wal_replay_s	510	s
dalibo	8	restore	avg_fetch_segs_per_min	5534	segs/min
dalibo	8	restore	avg_replay_kb_s	53840	KB/s
dalibo	32	restore	base_restore_s	38	s
dalibo	32	restore	total_restore_s	549	s
dalibo	32	restore	wal_replay_s	511	s
dalibo	32	restore	avg_fetch_segs_per_min	5534	segs/min
dalibo	32	restore	avg_replay_kb_s	53111	KB/s
