timestamp lsn_bytes lsn_delta_kb rate_kb_s
22:12:37 14076084224 13746176 6873088
22:12:40 16290676736 2162688 720896
22:12:42 18900713472 2548864 1274432
22:12:44 21273509888 2317184 1158592
22:12:47 22749904896 1441792 480597
22:12:49 24175951872 1392624 696312
22:12:52 26587136000 2354672 784890
22:12:54 28674924544 2038856 1019428
22:12:57 30077263872 1369472 456490
22:12:59 31323062272 1216600 608300
22:13:02 32769916928 1412944 470981
22:13:04 33957085184 1159344 579672
22:13:07 35332816896 1343488 447829
22:13:09 36540776448 1179648 589824
22:13:12 37940379648 1366800 455600
22:13:14 39162421248 1193400 596700
22:13:17 40520851456 1326592 442197
22:13:19 41790111744 1239512 619756
22:13:22 42553106432 745112 248370
22:13:24 43113095168 546864 273432
22:13:27 44414664704 1271064 423688
22:13:29 45516587008 1076096 538048
22:13:32 46738825216 1193592 397864
22:13:34 47975751680 1207936 603968
22:13:37 49257906176 1252104 417368
22:13:39 50381979648 1097728 548864
22:13:42 51640270848 1228800 409600
22:13:44 52750098432 1083816 541908
22:13:46 53989081088 1209944 604972
22:13:49 55251492864 1232824 410941
22:13:51 56488886272 1208392 604196
22:13:54 57780731904 1261568 420522
22:13:56 59015794888 1206116 603058
22:13:58 60125544448 1083739 541869
22:14:01 60768010240 627408 209136
22:14:03 61452754944 668696 334348
22:14:06 62054367232 587512 195837
22:14:08 62780342272 708960 354480
22:14:11 64072187904 1261568 420522
22:14:13 65179484160 1081344 540672
22:14:15 66337112064 1130496 565248
22:14:18 67545063424 1179640 393213
22:14:20 68753031168 1179656 589828
22:14:23 69960990720 1179648 393216
22:14:25 71107731456 1119864 559932
22:14:28 72427241472 1288584 429528
22:14:31 73759932416 1301456 433818
22:14:33 75097980928 1306688 653344
22:14:35 76274024448 1148480 574240
22:14:38 77575061504 1270544 423514
22:14:40 78663503000 1062931 531465
22:14:43 79473295360 790812 263604
22:14:45 80124715008 636152 318076
22:14:48 80789364736 649072 216357
22:14:50 81436147168 631623 315811
22:14:53 82493562880 1032632 344210
22:14:55 83567312896 1048584 524292
22:14:58 84775264256 1179640 393213
22:15:00 85882568704 1081352 540676
22:15:03 87168409600 1255704 418568
22:15:05 88415928320 1218280 609140
22:15:08 89623887872 1179648 393216
22:15:10 90798292992 1146880 573440
22:15:13 92006252544 1179648 393216
22:15:15 93118095360 1085784 542892
22:15:18 94371840000 1224360 408120
22:15:20 95546245120 1146880 573440
22:15:23 96871645184 1294336 431445
22:15:25 98116173824 1215360 607680
22:15:28 99421782016 1275008 425002
22:15:31 100151263232 712384 237461
22:15:33 100696850432 532800 266400
22:15:35 101212061696 503136 251568
22:15:38 102318465024 1080472 360157
22:15:40 103548977152 1201672 600836
22:15:43 104723382272 1146880 382293
22:15:45 105847447552 1097720 548860
22:15:48 106988306432 1114120 371373
22:15:50 108045271040 1032192 516096
22:15:52 109253230592 1179648 589824
22:15:54 110297055232 1019360 509680
22:15:57 111478407168 1153664 384554
22:15:59 112588587008 1084160 542080
22:16:01 113794580480 1177728 588864
22:16:04 115091701760 1266720 422240
22:16:06 116249329664 1130496 565248
22:16:09 117540225024 1260640 420213
22:16:11 118682025984 1115040 557520
22:16:14 119452114944 752040 250680
22:16:16 120054669312 588432 294216
22:16:18 120627372032 559280 279640
22:16:21 121156714496 516936 172312
22:16:23 122305904640 1122256 561128
22:16:26 123664859136 1327104 442368
22:16:29 124876881920 1183616 394538
22:16:31 126064001024 1159296 579648
22:16:33 127188074496 1097728 548864
22:16:36 128336650240 1121656 373885
22:16:38 129567326208 1201832 600916
22:16:41 130828730368 1231840 410613
22:16:43 132087021568 1228800 614400
22:16:46 133362089984 1245184 415061
22:16:48 134586826752 1196032 598016
22:16:51 135830814720 1214832 404944
22:16:53 137169035264 1306856 653428
22:16:56 138333650944 1137320 379106
22:16:58 139380244480 1022064 511032
22:17:01 139979137024 584856 194952
22:17:03 140559515648 566776 283388
22:17:05 141119062016 546432 273216
22:17:08 141935247360 797056 265685
22:17:10 143126429696 1163264 581632
22:17:13 144384720896 1228800 409600
22:17:15 145441685504 1032192 516096
22:17:17 146632867840 1163264 581632
22:17:20 147805913088 1145552 381850
22:17:22 149033394176 1198712 599356
22:17:25 150206414848 1145528 381842
22:17:27 151556882432 1318816 659408
22:17:30 152756551680 1171552 390517
22:17:32 154153467904 1364176 682088
22:17:35 155440906240 1257264 419088
22:17:37 156740280320 1268920 634460
22:17:40 157873602560 1106760 368920
22:17:42 158678695936 786224 393112
22:17:45 159344410624 650112 216704
22:17:47 160025493504 665120 332560
22:17:50 160666624000 626104 208701
22:17:53 161698807808 1007992 335997
22:17:55 162744582144 1021264 510632
22:17:58 163946954752 1174192 587096
22:18:00 165101469696 1127456 375818
22:18:03 166454206464 1321032 440344
22:18:05 167621165056 1139608 569804
22:18:08 168837300224 1187632 395877
22:18:10 169976520704 1112520 556260
22:18:12 171155013632 1150872 575436
22:18:15 172268453888 1087344 362448
22:18:17 173499211776 1201912 600956
22:18:20 174717927424 1190152 396717
22:18:22 176076881920 1327104 663552
22:18:25 177343832064 1237256 412418
22:18:27 178611306496 1237768 618884
22:18:30 179323125760 695136 231712
22:18:32 179914432512 577448 288724
22:18:34 180414818256 488657 244328
22:18:37 180996620288 568166 189388
22:18:39 182341558272 1313416 656708
22:18:42 183408525312 1041960 347320
22:18:44 184482258944 1048568 524284
22:18:46 185522454528 1015816 507908
22:18:48 186602012672 1054256 527128
22:18:51 187847507968 1216304 405434
22:18:54 189179887616 1301152 433717
22:18:56 190359764992 1152224 576112
22:18:58 191528697856 1141536 570768
22:19:00 192621584384 1067272 533636
22:19:03 193961394176 1308408 436136
22:19:06 195253239808 1261568 420522
22:19:08 196645740544 1359864 679932
22:19:11 197853708288 1179656 393218
22:19:13 198635593728 763560 381780
22:19:15 199270752256 620272 310136
22:19:18 199849820160 565496 188498
22:19:20 200399224832 536528 268264
22:19:23 201276260352 856480 285493
22:19:25 202500988928 1196024 598012
22:19:28 203675402240 1146888 382296
22:19:30 204749144064 1048576 524288
22:19:32 205923540992 1146872 573436
22:19:35 207064399872 1114120 371373
22:19:37 208262406144 1169928 584964
22:19:40 209513873408 1222136 407378
22:19:42 210724724736 1182472 591236
22:19:45 211879460864 1127672 375890
22:19:47 213104197632 1196032 598016
22:19:49 214263570432 1132200 566100
22:19:52 215658627072 1362360 454120
22:19:54 216862294016 1175456 587728
22:19:57 217818234880 933536 311178
22:19:59 218723885056 884424 442212
22:20:03 219496292352 754304 188576
22:20:05 220072116224 562328 281164
22:20:07 220771385344 682880 341440
22:20:10 221979344896 1179648 393216
22:20:12 223103418368 1097728 548864
22:20:15 224411254784 1277184 425728
22:20:17 225636777984 1196800 598400
22:20:20 226720456704 1058280 352760
22:20:22 227884924928 1137176 568588
22:20:24 228957782016 1047712 523856
22:20:27 230334398464 1344352 448117
22:20:29 231465181184 1104280 552140
22:20:32 232817426432 1320552 440184
22:20:34 234025385984 1179648 589824
22:20:37 235369078784 1312200 437400
22:20:39 236625854464 1227320 613660
22:20:42 237527425024 880440 293480
22:20:44 238169358336 626888 313444
22:20:47 238845681664 660472 220157
22:20:49 239425380352 566112 283056
22:20:52 240149069824 706728 235576
22:20:54 241306697728 1130496 565248
22:20:56 242430771200 1097728 548864
22:20:59 243621953536 1163264 387754
22:21:02 245098348544 1441792 480597
22:21:04 246205644800 1081344 540672
22:21:07 247413604352 1179648 393216
22:21:09 248537677824 1097728 548864
22:21:12 249930186752 1359872 453290
22:21:15 251154923520 1196032 398677
22:21:17 252463546368 1277952 638976
22:21:20 253688283136 1196032 398677
22:21:22 254963351552 1245184 622592
22:21:24 256188088320 1196032 598016
22:21:27 257362493440 1146880 382293
22:21:29 258121530016 741246 370623
22:21:32 258777609488 640702 213567
22:21:34 259312214016 522074 261037
22:21:37 260088856576 758440 252813
22:21:39 261305139200 1187776 593888
22:21:42 262553346048 1218952 406317
22:21:44 263620395008 1042040 521020
22:21:47 264750030848 1103160 367720
22:21:49 265885319168 1108680 554340
22:21:51 267110055936 1196032 598016
22:21:54 268284461056 1146880 382293
22:21:56 269446291456 1134600 567300
22:21:59 270633271296 1159160 386386
22:22:01 271774121984 1114112 557056
22:22:04 273216962560 1409024 469674
22:22:06 274530025472 1282288 641144
22:22:09 275934494720 1371552 457184
22:22:11 276942225408 984112 492056
22:22:14 277671235480 711923 237307
22:22:16 278276028696 590618 295309
22:22:19 278864011016 574201 191400
22:22:21 279458086912 580152 290076
22:22:24 280783486976 1294336 431445
22:22:27 282008223744 1196032 398677
22:22:29 283149066240 1114104 557052
22:22:31 284273147904 1097736 548868
22:22:34 285564993536 1261568 420522
22:22:36 286722621440 1130496 565248
22:22:39 287918792704 1168136 389378
22:22:41 289087389696 1141208 570604
22:22:44 290356600832 1239464 413154
22:22:46 291571228672 1186160 593080
22:22:49 292879843328 1277944 425981
22:22:51 294039609344 1132584 566292
22:22:53 295297384448 1228296 614148
22:22:56 296184872960 866688 288896
22:22:58 297136625640 929445 464722
22:23:01 297761711288 610435 203478
22:23:03 298433118208 655670 327835
22:23:06 299009998848 563360 187786
22:23:08 300184862720 1147328 573664
22:23:11 301369131008 1156512 385504
22:23:13 302677753856 1277952 638976
22:23:16 303768272896 1064960 354986
22:23:18 305026564096 1228800 614400
22:23:21 306234523648 1179648 393216
22:23:23 307476037632 1212416 606208
22:23:26 308717551616 1212416 404138
22:23:28 309962506240 1215776 607888
22:23:31 311254745088 1261952 420650
22:23:33 312525979648 1241440 620720
22:23:36 313736945664 1182584 394194
22:23:38 314967965696 1202168 601084
22:23:41 315827888128 839768 279922
22:23:43 316546342912 701616 350808
22:23:46 317149290496 588816 196272
22:23:48 317784457216 620280 310140
22:23:51 318398005248 599168 199722
22:23:53 319645851648 1218600 609300
22:23:55 320813924352 1140696 570348
22:23:58 322005106688 1163264 387754
22:24:00 323263397888 1228800 614400
22:24:03 324521672704 1228784 409594
22:24:06 325820317696 1268208 422736
22:24:08 327089840128 1239768 619884
22:24:11 328346894336 1227592 409197
22:24:13 329538060288 1163248 581624
22:24:16 330766958592 1200096 400032
22:24:18 332155322368 1355824 677912
22:24:21 333415202816 1230352 410117
22:24:23 334805704704 1357912 678956
22:24:26 335703097344 876360 292120
22:24:28 336372989952 654192 327096
22:24:31 336952155464 565591 188530
22:24:33 337541160960 575200 287600
22:24:35 338117386240 562720 281360
22:24:38 339285639168 1140872 380290
22:24:40 340460036096 1146872 573436
22:24:42 341550563328 1064968 532484
22:24:44 342607527936 1032192 516096
22:24:47 343700725760 1067576 355858
22:24:49 344755011584 1029576 514788
22:24:51 345929416704 1146880 573440
22:24:54 347053481984 1097720 365906
22:24:56 348194332672 1114112 557056
22:24:58 349419077632 1196040 598020
22:25:00 350509580288 1064944 532472
22:25:03 351886385152 1344536 448178
22:25:06 353181966336 1265216 421738
22:25:08 354385133568 1174968 587484
22:25:11 355190439936 786432 262144
22:25:13 355827476408 622105 311052
22:25:16 356415176704 573926 191308
22:25:18 356976541696 548208 274104
22:25:20 357656690688 664208 332104
22:25:23 359116308480 1425408 475136
22:25:26 360609480704 1458176 486058
22:25:29 361867771904 1228800 409600
22:25:31 362950713344 1057560 528780
22:25:33 364115918848 1137896 568948
22:25:36 365307101184 1163264 387754
22:25:38 366515060736 1179648 589824
22:25:41 367689465856 1146880 382293
22:25:43 368880648192 1163264 581632
22:25:45 369991204864 1084528 542264
22:25:47 371229458432 1209232 604616
22:25:50 372437417984 1179648 393216
