timestamp rx_kb/s tx_kb/s
17:00:51 455 987
17:00:52 270 1952
17:00:53 474 1950
17:00:54 487 1952
17:00:55 480 1950
17:00:56 381 1949
17:00:57 296 1947
17:00:58 328 1952
17:00:59 298 1949
17:01:00 305 1945
17:01:01 337 1951
17:01:02 302 1945
17:01:03 314 1948
17:01:04 317 1956
17:01:05 341 1952
17:01:06 296 1957
17:01:07 414 1952
17:01:08 325 1948
17:01:09 349 1952
17:01:10 319 1951
17:01:11 332 1941
17:01:12 314 1952
17:01:13 307 1948
17:01:14 208 1952
17:01:15 318 1978
17:01:16 311 1949
17:01:17 330 1945
17:01:18 341 1950
17:01:19 332 1950
17:01:20 324 1945
17:01:21 309 983
17:01:22 208 1948
17:01:23 316 1947
17:01:24 336 1954
17:01:25 317 1035
17:01:26 179 1887
17:01:27 323 983
17:01:28 327 1947
17:01:29 308 1940
17:01:30 254 1944
17:01:31 347 1942
17:01:32 336 1950
17:01:33 358 1947
17:01:34 365 1953
17:01:35 349 981
17:01:36 205 1936
17:01:37 342 1943
17:01:38 345 1066
17:01:39 335 1944
17:01:40 251 1941
17:01:41 379 1947
17:01:42 358 1949
17:01:43 379 1959
17:01:44 379 1952
17:01:45 357 1951
17:01:46 365 1950
17:01:47 357 1949
17:01:48 346 1060
17:01:49 308 1943
17:01:50 259 1945
17:01:51 355 1947
17:01:52 347 986
17:01:53 312 1945
17:01:54 434 1957
17:01:55 220 1947
17:01:56 382 1951
17:01:57 378 1948
17:01:58 382 1949
17:01:59 371 1945
17:02:00 394 1948
17:02:01 363 984
17:02:02 394 1946
17:02:03 388 1946
17:02:04 244 1951
17:02:05 394 1964
17:02:06 374 1944
17:02:07 362 982
17:02:08 228 1971
17:02:09 400 1946
17:02:10 396 1946
17:02:11 377 985
17:02:12 410 1949
17:02:13 278 1949
17:02:14 390 980
17:02:15 228 1937
17:02:16 381 1044
17:02:18 388 1881
17:02:19 238 1940
17:02:20 379 977
17:02:21 249 1940
17:02:22 401 984
17:02:23 242 1941
17:02:24 430 1945
17:02:25 443 1949
17:02:26 404 981
17:02:27 253 1945
17:02:28 414 1948
17:02:29 517 1951
17:02:30 483 1950
17:02:31 234 1943
17:02:32 449 1963
17:02:33 426 1953
17:02:34 442 1948
17:02:35 456 1953
17:02:36 435 1949
17:02:37 444 1950
17:02:38 426 1949
17:02:39 447 1948
17:02:40 469 2045
17:02:41 462 1953
17:02:42 446 1949
17:02:43 425 1947
17:02:44 449 1954
17:02:45 469 1951
17:02:46 427 986
17:02:47 247 1945
17:02:48 443 1947
17:02:49 469 1949
17:02:50 459 1945
17:02:51 463 1948
17:02:52 426 984
17:02:53 261 1941
17:02:54 448 986
17:02:55 274 1952
17:02:56 440 1941
17:02:57 237 977
17:02:58 463 1943
17:02:59 240 978
17:03:00 446 980
17:03:01 277 1942
17:03:02 446 1942
17:03:03 438 981
17:03:04 278 1947
17:03:05 487 1944
17:03:06 465 983
17:03:07 482 1946
17:03:08 272 1938
17:03:09 467 1946
17:03:10 234 973
17:03:11 499 1948
17:03:12 460 986
17:03:13 505 1946
17:03:14 387 1960
17:03:15 490 1953
17:03:16 378 1942
17:03:17 519 2042
17:03:18 286 1947
17:03:19 152 980
17:03:20 294 1949
17:03:21 313 1971
17:03:22 289 1945
17:03:23 298 1955
17:03:24 417 1951
17:03:25 322 1955
17:03:26 286 1946
17:03:27 184 1947
17:03:28 314 1949
17:03:29 289 1943
17:03:30 329 1979
17:03:31 302 1950
17:03:32 317 1948
17:03:33 340 1957
17:03:34 307 1949
17:03:35 343 1960
17:03:36 292 993
17:03:37 318 1940
17:03:38 310 1950
17:03:39 207 1946
17:03:40 315 1941
17:03:41 326 1943
17:03:42 301 981
17:03:43 195 1940
17:03:44 334 1951
17:03:45 305 982
17:03:46 311 1944
17:03:47 192 1940
17:03:48 164 974
17:03:49 338 1944
17:03:50 306 981
17:03:51 213 1941
17:03:52 312 984
17:03:53 189 1941
17:03:54 342 1949
17:03:55 318 982
17:03:56 185 1938
17:03:57 352 1947
17:03:58 336 1949
17:03:59 321 985
17:04:00 358 1950
17:04:01 382 1953
17:04:02 333 1947
17:04:03 190 1939
17:04:04 401 1960
17:04:05 351 1952
17:04:06 372 1979
17:04:07 370 1948
17:04:08 337 984
17:04:09 417 2914
17:04:10 356 986
17:04:11 410 2910
17:04:12 383 1951
17:04:13 391 1947
17:04:14 402 1958
17:04:15 384 1949
17:04:16 370 1946
17:04:17 344 981
17:04:18 230 1948
17:04:19 382 1946
17:04:20 378 1946
17:04:21 394 1949
17:04:22 376 1951
17:04:23 402 1951
17:04:24 416 1954
17:04:25 409 1972
17:04:26 392 1944
17:04:27 388 1942
17:04:28 367 982
17:04:29 386 1941
17:04:30 218 2022
17:04:31 383 1133
17:04:32 348 1794
17:04:33 273 1939
17:04:34 400 991
17:04:35 243 1942
17:04:36 421 1943
17:04:37 406 986
17:04:38 393 1939
17:04:39 237 1938
17:04:40 386 983
17:04:41 225 1940
17:04:42 422 1949
17:04:43 521 1951
17:04:44 490 1957
17:04:45 447 1951
17:04:46 270 9081
17:04:47 257 6881
17:04:48 406 6879
17:04:49 229 6891
17:04:50 277 11998
17:04:51 241 8632
17:04:52 281 7014
17:04:53 438 6888
17:04:54 274 12004
17:04:55 240 8648
17:04:56 253 6880
17:04:57 262 6893
17:04:58 461 6907
17:04:59 266 13753
17:05:00 234 6882
17:05:01 251 6873
17:05:02 437 6885
17:05:03 257 6868
17:05:04 330 11989
17:05:05 276 8639
17:05:06 242 6892
17:05:07 236 6891
17:05:08 244 6881
17:05:09 222 6875
17:05:10 256 6889
17:05:11 261 6872
17:05:12 466 6885
17:05:13 263 6887
17:05:14 318 13738
17:05:15 265 6864
17:05:16 267 6862
17:05:17 232 6884
17:05:18 269 6868
17:05:19 257 6863
17:05:20 239 6877
17:05:21 273 6861
17:05:22 241 6899
17:05:23 289 6871
17:05:24 247 6879
17:05:25 271 6852
17:05:26 251 6884
17:05:27 258 6874
17:05:28 249 6886
17:05:30 436 6889
17:05:31 288 11981
17:05:32 230 1766
17:05:33 226 6873
17:05:34 290 12009
17:05:35 250 6881
17:05:36 239 6885
17:05:37 251 6873
17:05:38 256 6886
17:05:39 245 6886
17:05:40 279 8609
17:05:41 254 6865
17:05:42 252 6886
17:05:43 251 6878
17:05:44 266 6876
17:05:45 257 6869
17:05:46 284 6877
17:05:47 453 6878
17:05:48 275 6883
17:05:49 289 11980
17:05:50 265 8635
17:05:51 270 6879
17:05:52 460 6875
17:05:53 257 6898
17:05:54 169 6872
17:05:55 377 6892
17:05:56 313 11792
17:05:57 263 7029
17:05:58 280 8627
17:05:59 287 6865
17:06:00 260 6853
17:06:01 264 6860
17:06:02 267 6869
17:06:03 264 6887
17:06:04 301 6880
17:06:05 284 6892
17:06:06 269 6885
17:06:07 508 6862
17:06:08 286 6863
17:06:09 375 11961
17:06:10 238 1760
17:06:11 296 13741
17:06:12 181 6861
17:06:13 207 6862
17:06:14 186 6885
17:06:15 299 6889
17:06:16 164 6877
17:06:17 192 6878
17:06:18 214 13720
17:06:19 219 6870
17:06:20 321 6872
17:06:21 232 12005
17:06:22 186 8614
17:06:23 286 6882
17:06:24 96 6867
17:06:25 179 6883
17:06:26 292 6881
17:06:27 238 11983
17:06:28 179 8617
17:06:29 171 6878
17:06:30 323 6879
17:06:31 216 6937
17:06:32 243 11952
17:06:33 181 8610
17:06:34 341 7489
17:06:35 215 6893
17:06:36 52 6875
17:06:37 310 6868
17:06:38 209 6879
17:06:39 185 5455
17:06:40 283 192
17:06:41 332 3923
17:06:42 207 8032
17:06:43 267 3986
17:06:44 242 8094
17:06:45 153 13
17:06:46 190 7988
17:06:47 179 4097
17:06:48 336 4017
17:06:49 213 8024
17:06:50 335 4019
17:06:51 236 7976
17:06:52 309 3985
17:06:53 214 7952
17:06:54 344 3984
17:06:55 220 7914
17:06:56 340 3958
17:06:57 219 7921
17:06:58 342 4104
17:06:59 263 7884
17:07:00 367 7850
17:07:01 325 3964
17:07:02 394 7840
17:07:03 213 7832
17:07:04 339 3923
17:07:05 233 7813
17:07:06 321 3944
17:07:07 241 7778
17:07:08 408 7763
17:07:09 356 3884
17:07:10 262 7757
17:07:11 344 3871
17:07:12 205 7773
17:07:13 352 3849
17:07:14 267 7709
17:07:15 352 3862
17:07:16 260 7648
17:07:17 355 7621
17:07:18 370 7624
17:07:19 354 3859
17:07:20 249 7658
17:07:21 391 7543
17:07:22 357 3807
17:07:23 415 7533
17:07:24 287 7530
17:07:25 420 7497
17:07:26 416 7477
17:07:27 351 3797
17:07:28 238 7494
17:07:29 381 3730
17:07:30 244 7466
17:07:31 298 3720
17:07:32 318 7483
17:07:33 360 3724
17:07:34 244 7387
17:07:35 198 3726
17:07:36 374 3691
17:07:37 244 7310
17:07:38 390 3679
17:07:39 227 7343
17:07:40 306 3655
17:07:41 260 3648
17:07:42 249 7240
17:07:43 381 3675
17:07:44 238 7314
17:07:45 397 3628
17:07:46 386 7254
17:07:47 325 7184
17:07:48 417 7195
17:07:49 384 3586
17:07:50 434 7194
17:07:51 272 7064
17:07:52 450 7135
17:07:53 462 7113
17:07:54 418 3619
17:07:55 264 7114
17:07:56 445 7073
17:07:57 411 3543
17:07:58 246 7065
17:07:59 401 3528
17:08:00 475 6991
17:08:01 268 6991
17:08:02 415 3483
17:08:03 361 7073
17:08:04 358 6957
17:08:05 441 3434
17:08:06 277 6873
17:08:07 463 6893
17:08:08 412 3486
17:08:09 248 6858
17:08:10 486 6807
17:08:11 432 3467
17:08:12 476 6763
17:08:13 270 6840
17:08:14 484 6728
17:08:15 443 3395
17:08:16 259 6773
17:08:17 231 3373
17:08:18 430 3369
17:08:19 277 6701
17:08:20 415 3308
17:08:21 332 6779
17:08:22 435 6699
17:08:23 440 3348
17:08:24 319 6645
17:08:25 456 3305
17:08:26 258 6591
17:08:27 373 3263
17:08:28 340 3291
17:08:29 286 6501
17:08:30 460 3301
17:08:31 301 6464
17:08:32 471 3251
17:08:33 313 6458
17:08:34 523 6361
17:08:35 441 3478
17:08:36 332 6434
17:08:37 522 6733
17:08:39 463 3211
17:08:40 268 6402
17:08:41 242 3241
17:08:42 513 6377
17:08:43 274 3173
17:08:44 454 3181
17:08:45 283 6283
17:08:46 504 6349
17:08:47 241 3165
17:08:48 523 6243
17:08:49 453 3105
17:08:50 279 6170
17:08:51 446 3118
17:08:52 274 6289
17:08:53 471 3946
17:08:54 514 5335
17:08:55 433 6207
17:08:56 402 6193
17:08:57 469 3101
17:08:58 300 6142
17:08:59 473 3089
17:09:00 446 6211
17:09:01 391 5979
17:09:02 470 3082
17:09:03 177 5999
17:09:04 204 2979
17:09:05 296 6022
17:09:06 161 3023
17:09:07 310 5993
17:09:08 265 3009
17:09:09 184 6002
17:09:10 286 2956
17:09:11 241 6033
17:09:12 284 2941
17:09:13 351 5785
