timestamp archived_count delta_per_min last_archived_wal
04:33:36 14869 1056 000000010000003A00000014
04:34:38 15901 1032 000000010000003E0000001C
04:35:40 16933 1032 000000010000004200000024
04:36:41 17954 1021 000000010000004600000021
04:37:43 18973 1019 000000010000004A0000001C
04:38:45 20023 1050 000000010000004E00000036
04:39:47 21037 1014 00000001000000520000002C
04:40:49 22069 1032 000000010000005600000034
