timestamp object_count delta rate_per_min
05:04:48 13850 13850 13850
05:05:57 14858 1008 1008
05:07:06 15882 1024 1024
05:08:16 16826 944 944
05:09:25 17754 928 928
05:10:35 18698 944 944
05:11:46 19729 1031 1031
