timestamp lsn_bytes delta_kb rate_kb_s
07:19:02 23756394848 23199604 386660
07:20:07 32856130248 8886460 148107
07:21:11 38923138976 5924813 98746
07:22:15 41029613976 2057104 34285
07:23:19 47560970552 6378277 106304
07:24:24 55482214984 7735590 128926
07:25:28 59085555792 3518887 58648
07:26:32 60618794616 1497303 24955
