plugin	wal_threads	phase	metric	value	unit
barman	16	pgbench	rows_updated_per_s	361991	rows_updated/s
barman	16	pgbench	tps	18099.558301	tps
barman	16	pgbench	duration_s	962	s
barman	16	wal_gen	total_gb	331.94	GB
barman	16	wal_gen	avg_rate_kb_s	380157	KB/s
barman	16	wal_during	avg_archive_segs_per_min	751	segs/min
barman	16	wal_during	avg_archive_mb_per_min	12016	MB/min
barman	16	wal_drain	drain_time_s	480+	s
barman	16	wal_drain	avg_rate_segs_per_min	833	segs/min
barman	16	wal_drain	avg_drain_segs_per_min	833	segs/min
barman	16	wal_drain	avg_drain_mb_per_min	13328	MB/min
barman	24	pgbench	rows_updated_per_s	368982	rows_updated/s
barman	24	pgbench	tps	18449.095524	tps
barman	24	pgbench	duration_s	962	s
barman	24	wal_gen	total_gb	333.28	GB
barman	24	wal_gen	avg_rate_kb_s	382613	KB/s
barman	24	wal_during	avg_archive_segs_per_min	880	segs/min
barman	24	wal_during	avg_archive_mb_per_min	14080	MB/min
barman	24	wal_drain	drain_time_s	480+	s
barman	24	wal_drain	avg_rate_segs_per_min	1028	segs/min
barman	24	wal_drain	avg_drain_segs_per_min	1028	segs/min
barman	24	wal_drain	avg_drain_mb_per_min	16448	MB/min
opera	16	pgbench	rows_updated_per_s	375012	rows_updated/s
opera	16	pgbench	tps	18750.602409	tps
opera	16	pgbench	duration_s	964	s
opera	16	wal_gen	total_gb	342.44	GB
opera	16	wal_gen	avg_rate_kb_s	393378	KB/s
opera	16	wal_during	avg_archive_segs_per_min	833	segs/min
opera	16	wal_during	avg_archive_mb_per_min	13328	MB/min
opera	16	wal_drain	drain_time_s	480+	s
opera	16	wal_drain	avg_rate_segs_per_min	869	segs/min
opera	16	wal_drain	avg_drain_segs_per_min	869	segs/min
opera	16	wal_drain	avg_drain_mb_per_min	13904	MB/min
opera	24	pgbench	rows_updated_per_s	377423	rows_updated/s
opera	24	pgbench	tps	18871.128240	tps
opera	24	pgbench	duration_s	963	s
opera	24	wal_gen	total_gb	344.43	GB
opera	24	wal_gen	avg_rate_kb_s	394315	KB/s
opera	24	wal_during	avg_archive_segs_per_min	1026	segs/min
opera	24	wal_during	avg_archive_mb_per_min	16416	MB/min
opera	24	wal_drain	drain_time_s	480+	s
opera	24	wal_drain	avg_rate_segs_per_min	1111	segs/min
opera	24	wal_drain	avg_drain_segs_per_min	1111	segs/min
opera	24	wal_drain	avg_drain_mb_per_min	17776	MB/min
dalibo	16	pgbench	rows_updated_per_s	384491	rows_updated/s
dalibo	16	pgbench	tps	19224.553458	tps
dalibo	16	pgbench	duration_s	963	s
dalibo	16	wal_gen	total_gb	334.43	GB
dalibo	16	wal_gen	avg_rate_kb_s	383979	KB/s
dalibo	16	wal_during	avg_archive_segs_per_min	198	segs/min
dalibo	16	wal_during	avg_archive_mb_per_min	3168	MB/min
dalibo	16	wal_drain	drain_time_s	480+	s
dalibo	16	wal_drain	avg_rate_segs_per_min	182	segs/min
dalibo	16	wal_drain	avg_drain_segs_per_min	182	segs/min
dalibo	16	wal_drain	avg_drain_mb_per_min	2912	MB/min
dalibo	24	pgbench	rows_updated_per_s	378383	rows_updated/s
dalibo	24	pgbench	tps	18919.174673	tps
dalibo	24	pgbench	duration_s	962	s
dalibo	24	wal_gen	total_gb	330.14	GB
dalibo	24	wal_gen	avg_rate_kb_s	381504	KB/s
dalibo	24	wal_during	avg_archive_segs_per_min	195	segs/min
dalibo	24	wal_during	avg_archive_mb_per_min	3120	MB/min
dalibo	24	wal_drain	drain_time_s	480+	s
dalibo	24	wal_drain	avg_rate_segs_per_min	194	segs/min
dalibo	24	wal_drain	avg_drain_segs_per_min	194	segs/min
dalibo	24	wal_drain	avg_drain_mb_per_min	3104	MB/min
barman	1	restore	base_restore_s	82	s
barman	1	restore	total_restore_s	602	s
barman	1	restore	wal_replay_s	520	s
barman	1	restore	avg_fetch_segs_per_min	22134	segs/min
barman	1	restore	avg_replay_kb_s	92830	KB/s
opera	16	restore	base_restore_s	175	s
opera	16	restore	total_restore_s	695	s
opera	16	restore	wal_replay_s	520	s
opera	16	restore	avg_fetch_segs_per_min	22850	segs/min
opera	16	restore	avg_replay_kb_s	93874	KB/s
opera	24	restore	base_restore_s	180	s
opera	24	restore	total_restore_s	697	s
opera	24	restore	wal_replay_s	517	s
opera	24	restore	avg_fetch_segs_per_min	22850	segs/min
opera	24	restore	avg_replay_kb_s	95836	KB/s
dalibo	16	restore	base_restore_s	43	s
dalibo	16	restore	total_restore_s	560	s
dalibo	16	restore	wal_replay_s	517	s
dalibo	16	restore	avg_fetch_segs_per_min	4907	segs/min
dalibo	16	restore	avg_replay_kb_s	43591	KB/s
dalibo	24	restore	base_restore_s	43	s
dalibo	24	restore	total_restore_s	560	s
dalibo	24	restore	wal_replay_s	517	s
dalibo	24	restore	avg_fetch_segs_per_min	4907	segs/min
dalibo	24	restore	avg_replay_kb_s	44865	KB/s
