timestamp object_count delta rate_per_min
04:17:25 1669 1669 1669
04:18:28 2533 864 864
04:19:31 3373 840 840
04:20:35 4260 887 887
04:21:40 5125 865 865
04:22:45 6037 912 912
04:23:50 6925 888 888
04:24:56 7789 864 864
04:26:02 8653 864 864
04:27:08 9529 876 876
04:28:14 10405 876 876
04:29:21 11293 888 888
04:30:30 12229 936 936
04:31:38 13117 888 888
