procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 119904876 3172 137395692 0   0    65 73951 5091    0  0  0 100 0  0  0
 0  0      0 119894480 3172 137395976 0   0     0     0 3168 4365  0  0 100 0  0  0
 0  0      0 119747956 3172 137383924 0   0     0 16418 6438 10699 1  0 99  0  0  0
 6  0      0 116347436 3172 137419420 0   0     0     0 17692 51091 10 39 51 0 0  0
 2  0      0 116217560 3172 137499652 0   0     0     0 15294 7642 1  0 99  0  0  0
 1  0      0 116171848 3172 137517952 0   0     0     0 21609 11016 1 0 98  0  0  0
 1  0      0 116131996 3172 137526956 0   0     0     0 23238 15926 2 0 98  0  0  0
 2  0      0 116161880 3172 137474572 0   0     0     0 19884 7483 1  0 99  0  0  0
 2  0      0 116068512 3172 137497740 0   0     0     8 19479 8799 1  0 99  0  0  0
 3  0      0 116062840 3172 137489184 0   0     0     0 20673 6568 1  0 98  0  0  0
 1  0      0 116034692 3172 137477552 0   0     0     0 13823 6362 1  0 99  0  0  0
 2  0      0 115960636 3172 137446112 0   0     0    75 9868 4730  1  0 99  0  0  0
 1  0      0 115867100 3172 137497284 0   0     0     0 14571 4768 1  0 99  0  0  0
 1  0      0 115754228 3172 137443572 0   0     0    16 11531 4785 1  0 99  0  0  0
 2  0      0 115657808 3172 137464188 0   0     0     0 15291 6024 1  0 99  0  0  0
 2  0      0 115565468 3172 137488136 0   0     0     0 17263 7913 1  0 99  0  0  0
 1  0      0 115511772 3172 137467808 0   0     0    16 12117 8195 1  0 99  0  0  0
 1  0      0 115458392 3172 137430652 0   0     0     0 10862 5603 1  0 99  0  0  0
 2  0      0 115391204 3172 137453684 0   0     0    16 11523 8140 1  0 99  0  0  0
 2  0      0 115323432 3172 137464136 0   0     0     0 10153 4458 1  0 99  0  0  0
 1  0      0 115246832 3172 137474040 0   0     0     0 12560 5462 1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 115162340 3172 137462676 0   0     0     0 12242 8281 1  0 99  0  0  0
 1  0      0 115187260 3172 137447896 0   0     0     0 11152 5021 1  0 99  0  0  0
 1  0      0 115156960 3172 137452856 0   0     0     0 11051 4439 1  0 99  0  0  0
 1  0      0 115169864 3172 137459624 0   0     0     0 13324 4891 1  0 99  0  0  0
 1  0      0 115171380 3172 137421968 0   0     0     0 11110 7645 1  0 99  0  0  0
 1  0      0 115115628 3172 137427632 0   0     0     0 12747 8289 1  0 99  0  0  0
 2  0      0 115070724 3172 137437480 0   0     0  1084 10999 5077 1  0 99  0  0  0
 2  0      0 115049136 3172 137424008 0   0     0     0 10949 6364 1  0 99  0  0  0
 1  0      0 115141972 3172 137431556 0   0     0     4 12259 4735 1  0 99  0  0  0
 1  0      0 115068184 3172 137433568 0   0     0    12 10729 5714 1  0 99  0  0  0
 1  0      0 115010888 3172 137434224 0   0     0     0 10420 4271 1  0 99  0  0  0
