timestamp rx_kb/s tx_kb/s
22:12:36 0 0
22:12:37 59 28
22:12:38 781 55637
22:12:39 408 60808
22:12:40 1109 97182
22:12:41 29 6041
22:12:42 1200 99091
22:12:43 0 0
22:12:44 1086 101390
22:12:45 24 7
22:12:46 1187 102962
22:12:47 0 0
22:12:48 1147 99059
22:12:49 0 0
22:12:50 1087 95685
22:12:51 0 0
22:12:52 1044 91934
22:12:53 0 0
22:12:54 1087 88396
22:12:55 1260 84774
22:12:56 2 1
22:12:57 1223 81180
22:12:58 0 0
22:12:59 1119 77715
22:13:00 0 0
22:13:02 1217 74916
22:13:03 1190 71404
22:13:04 1 0
22:13:05 1305 68257
22:13:06 23 7
22:13:07 1167 65777
22:13:08 0 0
22:13:09 1042 61761
22:13:10 402 10790
22:13:11 617 47882
22:13:12 1041 56431
22:13:13 2 1
22:13:14 1098 54105
22:13:15 0 0
22:13:16 1112 63680
22:13:17 1 0
22:13:18 2 1
22:13:19 1211 85299
22:13:20 0 0
22:13:21 1274 83749
22:13:22 4 0
22:13:23 867 41420
22:13:24 366 39851
22:13:25 0 0
22:13:26 939 80032
22:13:27 129 59
22:13:28 807 78428
22:13:29 1012 77249
22:13:30 1 0
22:13:31 1167 75255
22:13:32 0 0
22:13:33 1106 74105
22:13:34 0 0
22:13:35 1037 72668
22:13:36 1283 72051
22:13:37 1 0
22:13:38 1205 70139
22:13:39 0 0
22:13:40 1275 69276
22:13:41 169 78
22:13:42 967 67278
22:13:43 1139 66129
22:13:44 5 1
22:13:45 1023 64676
22:13:46 23 7
22:13:47 1126 63683
22:13:48 0 0
22:13:49 1105 62594
22:13:50 0 0
22:13:51 1084 61623
22:13:52 0 0
22:13:53 1135 61498
22:13:54 3 0
22:13:55 1140 60800
22:13:56 23 7
22:13:57 98 46
22:13:58 1033 59567
22:13:59 0 0
22:14:00 1042 58616
22:14:01 0 0
22:14:02 1040 59061
22:14:03 0 0
22:14:04 0 0
22:14:05 1095 59199
22:14:06 12 4
22:14:07 958 59266
22:14:08 27 12
22:14:09 949 60644
22:14:10 3 1
22:14:11 1075 61788
22:14:12 0 0
22:14:13 1113 65276
22:14:14 593 27106
22:14:15 449 41284
22:14:16 1134 73808
22:14:17 4 1
22:14:18 1335 82820
22:14:19 0 0
22:14:20 1263 94793
22:14:21 0 0
22:14:22 1306 111967
22:14:23 0 0
22:14:24 1124 127411
22:14:25 36 17
22:14:26 834 57466
22:14:27 513 14310
22:14:28 363 35914
22:14:29 946 50723
22:14:30 3 1
22:14:31 965 51070
22:14:32 0 0
22:14:33 1024 51367
22:14:34 0 0
22:14:35 1094 51245
22:14:36 11 3
22:14:37 1067 51741
22:14:38 3 0
22:14:39 304 140
22:14:40 856 52763
22:14:41 0 0
22:14:42 988 52679
22:14:43 0 0
22:14:44 37 17
22:14:45 918 53032
22:14:46 12 4
22:14:47 993 53651
22:14:48 0 0
22:14:49 4 0
22:14:50 942 54346
22:14:51 0 0
22:14:52 1035 54931
22:14:53 0 0
22:14:54 1033 55684
22:14:55 72 30
22:14:56 1017 56457
22:14:57 1103 57448
22:14:58 0 0
22:14:59 978 58142
22:15:00 4 0
22:15:01 936 59545
22:15:02 0 0
22:15:03 983 60702
22:15:04 979 61985
22:15:05 17 5
22:15:06 1024 64101
22:15:07 0 0
22:15:08 1001 65494
22:15:09 0 0
22:15:10 1160 68655
22:15:11 1026 67546
22:15:12 40 4549
22:15:13 1107 75461
22:15:14 0 0
22:15:15 1233 81003
22:15:16 12 3
22:15:17 1111 86700
22:15:18 0 0
22:15:19 1092 95044
22:15:20 0 0
22:15:21 1335 106436
22:15:22 4 0
22:15:23 1487 119482
22:15:24 0 0
22:15:25 1506 153483
22:15:26 0 0
22:15:27 0 0
22:15:28 1450 164234
22:15:29 0 0
22:15:30 1308 135292
22:15:31 76 9083
22:15:32 0 0
22:15:33 1280 148767
22:15:34 0 0
22:15:35 209 95
22:15:36 1031 150276
22:15:37 0 0
22:15:38 1235 150926
22:15:39 0 0
22:15:40 1124 89207
22:15:41 18 1741
22:15:42 1062 57832
22:15:43 1 0
22:15:44 1036 56767
22:15:45 23 7
22:15:46 964 56692
22:15:47 140 68
22:15:48 813 57595
22:15:49 985 55784
22:15:50 27 1795
22:15:51 1037 58128
22:15:52 1 0
22:15:53 1093 58601
22:15:54 0 0
22:15:55 965 56724
22:15:56 25 1844
22:15:57 0 0
22:15:58 921 59462
22:15:59 89 40
22:16:01 822 59344
22:16:02 803 50491
22:16:03 57 9202
22:16:04 993 60264
22:16:05 1 0
22:16:06 1106 61266
22:16:07 4 0
22:16:08 1025 62120
22:16:09 0 0
22:16:10 846 36271
22:16:11 131 26403
22:16:12 0 0
22:16:13 960 62982
22:16:14 0 0
22:16:15 978 57030
22:16:16 73 7017
22:16:17 0 0
22:16:18 1152 65134
22:16:19 0 0
22:16:20 1015 57151
22:16:21 56 9216
22:16:22 0 0
22:16:23 1103 67968
22:16:24 1067 65777
22:16:25 12 4243
22:16:26 1282 72215
22:16:27 0 0
22:16:28 1193 74513
22:16:29 0 0
22:16:30 1228 78745
22:16:31 930 61586
22:16:32 209 20937
22:16:33 1208 89031
22:16:34 0 0
22:16:35 1389 98907
22:16:36 23 7
22:16:37 1346 107318
22:16:38 0 0
22:16:39 1481 122254
22:16:40 0 0
22:16:41 1397 135694
22:16:42 0 0
22:16:43 1150 145738
22:16:44 0 0
22:16:45 1137 151816
22:16:46 23 7
22:16:47 1115 153862
22:16:48 0 0
22:16:49 1335 154661
22:16:50 0 0
22:16:51 1451 158717
22:16:52 8 2
22:16:53 0 0
22:16:54 1082 77877
22:16:55 0 0
22:16:56 957 53513
22:16:57 89 11100
22:16:58 0 0
22:16:59 914 48213
22:17:00 107 16647
22:17:01 0 0
22:17:02 1036 64803
22:17:03 4 1
