timestamp object_count delta rate_per_min
15:40:53 2340 2340 2340
15:41:56 2437 97 97
15:42:58 2545 108 108
15:44:01 2662 117 117
15:45:04 2778 116 116
15:46:08 2895 117 117
15:47:10 3010 115 115
