plugin	wal_threads	phase	metric	value	unit
barman	1	pgbench	rows_updated_per_s	386650	rows_updated/s
barman	1	pgbench	tps	19332.501903	tps
barman	1	pgbench	duration_s	964	s
barman	1	wal_gen	total_gb	403.32	GB
barman	1	wal_gen	avg_rate_kb_s	462289	KB/s
barman	1	wal_during	avg_archive_segs_per_min	92	segs/min
barman	1	wal_during	avg_archive_mb_per_min	1472	MB/min
barman	1	wal_drain	drain_time_s	480+	s
barman	1	wal_drain	avg_rate_segs_per_min	110	segs/min
barman	1	wal_drain	avg_drain_segs_per_min	110	segs/min
barman	1	wal_drain	avg_drain_mb_per_min	1760	MB/min
barman	8	pgbench	rows_updated_per_s	374452	rows_updated/s
barman	8	pgbench	tps	18722.603893	tps
barman	8	pgbench	duration_s	963	s
barman	8	wal_gen	total_gb	401.44	GB
barman	8	wal_gen	avg_rate_kb_s	459155	KB/s
barman	8	wal_during	avg_archive_segs_per_min	473	segs/min
barman	8	wal_during	avg_archive_mb_per_min	7568	MB/min
barman	8	wal_drain	drain_time_s	480+	s
barman	8	wal_drain	avg_rate_segs_per_min	472	segs/min
barman	8	wal_drain	avg_drain_segs_per_min	472	segs/min
barman	8	wal_drain	avg_drain_mb_per_min	7552	MB/min
barman	32	pgbench	rows_updated_per_s	361004	rows_updated/s
barman	32	pgbench	tps	18050.224618	tps
barman	32	pgbench	duration_s	962	s
barman	32	wal_gen	total_gb	401.72	GB
barman	32	wal_gen	avg_rate_kb_s	460126	KB/s
barman	32	wal_during	avg_archive_segs_per_min	984	segs/min
barman	32	wal_during	avg_archive_mb_per_min	15744	MB/min
barman	32	wal_drain	drain_time_s	480+	s
barman	32	wal_drain	avg_rate_segs_per_min	1161	segs/min
barman	32	wal_drain	avg_drain_segs_per_min	1161	segs/min
barman	32	wal_drain	avg_drain_mb_per_min	18576	MB/min
opera	1	pgbench	rows_updated_per_s	401408	rows_updated/s
opera	1	pgbench	tps	20070.399866	tps
opera	1	pgbench	duration_s	962	s
opera	1	wal_gen	total_gb	398.63	GB
opera	1	wal_gen	avg_rate_kb_s	456798	KB/s
opera	1	wal_during	avg_archive_segs_per_min	97	segs/min
opera	1	wal_during	avg_archive_mb_per_min	1552	MB/min
opera	1	wal_drain	drain_time_s	480+	s
opera	1	wal_drain	avg_rate_segs_per_min	113	segs/min
opera	1	wal_drain	avg_drain_segs_per_min	113	segs/min
opera	1	wal_drain	avg_drain_mb_per_min	1808	MB/min
opera	8	pgbench	rows_updated_per_s	383852	rows_updated/s
opera	8	pgbench	tps	19192.584026	tps
opera	8	pgbench	duration_s	964	s
opera	8	wal_gen	total_gb	399.87	GB
opera	8	wal_gen	avg_rate_kb_s	455027	KB/s
opera	8	wal_during	avg_archive_segs_per_min	532	segs/min
opera	8	wal_during	avg_archive_mb_per_min	8512	MB/min
opera	8	wal_drain	drain_time_s	480+	s
opera	8	wal_drain	avg_rate_segs_per_min	560	segs/min
opera	8	wal_drain	avg_drain_segs_per_min	560	segs/min
opera	8	wal_drain	avg_drain_mb_per_min	8960	MB/min
opera	32	pgbench	rows_updated_per_s	379378	rows_updated/s
opera	32	pgbench	tps	18968.905838	tps
opera	32	pgbench	duration_s	962	s
opera	32	wal_gen	total_gb	402.46	GB
opera	32	wal_gen	avg_rate_kb_s	461842	KB/s
opera	32	wal_during	avg_archive_segs_per_min	1090	segs/min
opera	32	wal_during	avg_archive_mb_per_min	17440	MB/min
opera	32	wal_drain	drain_time_s	480+	s
opera	32	wal_drain	avg_rate_segs_per_min	1222	segs/min
opera	32	wal_drain	avg_drain_segs_per_min	1222	segs/min
opera	32	wal_drain	avg_drain_mb_per_min	19552	MB/min
dalibo	1	pgbench	rows_updated_per_s	393032	rows_updated/s
dalibo	1	pgbench	tps	19651.608062	tps
dalibo	1	pgbench	duration_s	962	s
dalibo	1	wal_gen	total_gb	379.63	GB
dalibo	1	wal_gen	avg_rate_kb_s	431593	KB/s
dalibo	1	wal_during	avg_archive_segs_per_min	189	segs/min
dalibo	1	wal_during	avg_archive_mb_per_min	3024	MB/min
dalibo	1	wal_drain	drain_time_s	480+	s
dalibo	1	wal_drain	avg_rate_segs_per_min	179	segs/min
dalibo	1	wal_drain	avg_drain_segs_per_min	179	segs/min
dalibo	1	wal_drain	avg_drain_mb_per_min	2864	MB/min
dalibo	8	pgbench	rows_updated_per_s	390934	rows_updated/s
dalibo	8	pgbench	tps	19546.705345	tps
dalibo	8	pgbench	duration_s	964	s
dalibo	8	wal_gen	total_gb	373.24	GB
dalibo	8	wal_gen	avg_rate_kb_s	427745	KB/s
dalibo	8	wal_during	avg_archive_segs_per_min	185	segs/min
dalibo	8	wal_during	avg_archive_mb_per_min	2960	MB/min
dalibo	8	wal_drain	drain_time_s	480+	s
dalibo	8	wal_drain	avg_rate_segs_per_min	193	segs/min
dalibo	8	wal_drain	avg_drain_segs_per_min	193	segs/min
dalibo	8	wal_drain	avg_drain_mb_per_min	3088	MB/min
dalibo	32	pgbench	rows_updated_per_s	382268	rows_updated/s
dalibo	32	pgbench	tps	19113.414130	tps
dalibo	32	pgbench	duration_s	965	s
dalibo	32	wal_gen	total_gb	362.18	GB
dalibo	32	wal_gen	avg_rate_kb_s	414623	KB/s
dalibo	32	wal_during	avg_archive_segs_per_min	188	segs/min
dalibo	32	wal_during	avg_archive_mb_per_min	3008	MB/min
dalibo	32	wal_drain	drain_time_s	480+	s
dalibo	32	wal_drain	avg_rate_segs_per_min	190	segs/min
dalibo	32	wal_drain	avg_drain_segs_per_min	190	segs/min
dalibo	32	wal_drain	avg_drain_mb_per_min	3040	MB/min
