# jobs  barman_cnpg11  barman_cnpg12  opera_cnpg11  opera_cnpg12  dalibo_cnpg11  dalibo_cnpg12
1  572.37  557.75  241.83  254.51  248.71  263.20
8  1074.36  1048.58  1659.14  1702.23  0.00  0.00
32  1065.63  1101.45  3640.89  3855.06  0.00  0.00
64  1074.36  1083.24  5698.78  4519.72  0.00  0.00
128  1120.27  1101.45  4369.07  4681.14  0.00  0.00
