# jobs  barman_ip-192-168-19-208  barman_ip-192-168-40-103  opera_ip-192-168-19-208  opera_ip-192-168-40-103  dalibo_ip-192-168-19-208  dalibo_ip-192-168-40-103
1  6780  0  4148  0  4174  0
8  0  0  4122  0  0  0
32  0  0  4192  0  0  0
