0 0.985
1 0.657
2 1.333
3 1.333
4 1.333
5 0.667
6 0.333
7 0.333
8 0.333
9 0.333
10 1.000
11 1.000
12 5.000
13 4.667
14 4.333
15 0.333
16 0.000
17 0.667
18 0.667
19 0.667
20 0.667
21 0.667
22 1.333
23 1.000
24 1.333
25 0.667
26 0.667
27 0.333
28 0.333
29 0.000
30 0.667
31 0.667
32 5.333
33 5.000
34 5.333
35 0.667
36 0.667
37 0.333
38 0.667
39 0.333
40 1.000
41 0.667
42 1.000
43 1.000
44 1.000
45 0.667
46 0.333
47 0.333
48 0.667
49 0.333
50 1.000
51 0.667
52 5.667
53 5.333
54 5.333
55 0.667
56 0.333
57 0.667
58 0.333
59 0.333
60 0.667
61 0.667
62 1.333
63 1.000
64 1.000
65 0.667
66 0.333
67 0.667
68 0.333
69 0.333
70 0.667
71 4.667
72 5.000
73 4.667
74 0.667
75 0.667
76 0.333
77 0.667
78 0.667
79 0.667
80 0.667
81 0.667
82 1.000
83 1.000
84 0.667
85 0.667
86 0.333
87 0.667
88 0.333
89 0.333
90 4.333
91 4.333
92 5.333
93 1.000
94 1.333
95 0.333
96 0.667
97 0.333
98 0.333
99 0.333
100 0.667
101 1.000
102 1.333
103 1.000
104 1.000
105 0.333
106 0.667
107 0.667
108 0.667
109 0.333
110 4.667
111 4.667
112 5.000
113 0.667
114 0.667
115 0.667
116 0.500
