0 2.940
1 2.627
2 2.333
3 2.667
4 2.667
5 3.000
6 2.667
7 3.000
8 2.333
9 2.667
10 2.333
11 2.667
12 2.333
13 2.333
14 2.667
15 2.667
16 2.667
17 2.667
18 2.667
19 3.000
20 2.333
21 2.333
22 2.333
23 2.667
24 2.667
25 2.333
26 2.333
27 2.667
28 2.667
29 2.667
30 2.333
31 2.333
32 2.333
33 2.667
34 2.667
35 2.667
36 2.333
37 2.667
38 2.667
39 3.000
40 2.667
41 2.333
42 2.333
43 2.333
44 2.667
45 2.333
46 2.333
47 2.333
48 2.667
49 3.000
50 2.667
51 2.333
52 2.000
53 2.333
54 2.333
55 2.667
56 2.667
57 2.667
58 2.333
59 2.000
60 2.000
61 2.333
62 2.333
63 2.667
64 2.333
65 2.667
66 2.667
67 2.667
68 2.667
69 2.333
70 2.333
71 2.333
72 2.333
73 2.667
74 2.333
75 2.333
76 2.333
77 2.333
78 2.333
79 2.333
80 2.667
81 2.667
82 2.333
83 2.333
84 2.333
85 2.667
86 2.667
87 2.667
88 2.667
89 2.333
90 2.667
91 2.333
92 2.333
93 2.333
94 2.333
95 2.667
96 2.333
97 2.667
98 2.667
99 3.000
100 2.667
101 2.333
102 2.333
103 2.333
104 2.667
105 2.333
106 2.667
107 2.333
108 2.667
109 2.667
110 2.667
111 2.667
112 2.333
113 2.667
114 2.333
115 2.333
116 2.000
