0 1.485
1 2.990
2 3.000
3 3.000
4 4.667
5 5.000
6 4.333
7 1.000
8 0.667
9 1.000
10 1.000
11 2.000
12 2.000
13 2.000
14 4.000
15 4.333
16 4.333
17 1.333
18 1.000
19 1.000
20 1.667
21 2.000
22 2.333
23 1.333
24 4.333
25 3.667
26 4.333
27 1.000
28 1.333
29 1.333
30 1.333
31 2.333
32 2.000
33 2.000
34 1.000
35 2.667
36 3.000
37 3.000
38 1.333
39 1.333
40 1.333
41 2.333
42 2.333
43 5.667
44 5.000
45 4.333
46 1.333
47 0.667
48 1.333
49 1.000
50 7.333
51 7.667
52 7.333
53 1.667
54 1.000
55 1.000
56 0.667
57 4.000
58 4.667
59 5.000
60 1.667
61 2.000
62 1.667
63 1.667
64 0.667
65 1.000
66 4.000
67 4.667
68 4.333
69 1.333
70 1.000
71 2.000
72 2.000
73 2.000
74 1.333
75 1.000
76 1.000
77 0.667
78 5.000
79 5.000
80 5.667
81 2.000
82 2.000
83 1.667
84 1.333
85 1.333
86 3.667
87 3.667
88 3.667
89 1.000
90 1.333
91 2.000
92 2.000
93 1.667
94 1.000
95 4.333
96 4.333
97 4.333
98 1.000
99 1.000
100 1.000
101 1.667
102 2.000
103 2.000
104 1.333
105 1.000
106 4.333
107 4.333
108 4.333
109 1.000
110 1.667
111 2.000
112 2.333
113 1.667
114 1.000
115 0.667
116 4.000
117 4.000
118 4.000
119 0.500
