0 0.033
1 26.741
2 94.081
3 171.573
4 217.736
5 221.756
6 215.978
7 238.327
8 206.573
9 180.619
10 128.295
11 130.371
12 127.580
13 125.604
14 125.672
15 124.304
16 127.151
17 126.743
18 128.170
19 126.179
20 129.528
21 128.291
22 124.690
23 124.648
24 124.740
25 132.514
26 132.994
27 133.405
28 129.521
29 125.052
30 123.803
31 124.066
32 121.943
33 123.414
34 123.432
35 133.043
36 133.209
37 133.050
38 127.094
39 126.788
40 126.992
41 126.910
42 127.114
43 127.147
44 127.216
45 129.709
46 127.178
47 127.291
48 123.567
49 126.397
50 128.569
51 125.445
52 129.596
53 122.445
54 126.864
55 122.479
56 125.886
57 126.103
58 125.782
59 132.044
60 132.765
61 130.865
62 125.871
63 118.738
64 124.227
65 125.503
66 132.528
67 122.026
68 123.665
69 119.933
70 126.367
71 126.640
72 129.562
73 130.220
74 126.843
75 125.516
76 120.890
77 124.890
78 121.174
79 128.591
80 124.280
81 126.145
82 121.312
83 127.471
84 130.249
85 132.164
86 120.268
87 124.915
88 120.751
89 146.746
90 171.699
91 204.394
92 225.158
93 226.925
94 231.155
95 227.179
96 226.040
97 227.940
98 221.467
99 224.402
100 221.358
101 220.581
102 222.526
103 224.172
104 225.893
105 222.377
106 223.198
107 223.016
108 226.181
109 225.086
110 195.232
111 118.234
112 48.657
113 5.685
114 5.660
115 0.023
116 0.023
