# threads  barman_cnpg1  barman_cnpg4  opera_cnpg1  opera_cnpg4  dalibo_cnpg1  dalibo_cnpg4
1  354144.0  363856.0  379744.0  422928.0  79232.0  88544.0
8  0  0  379744.0  422928.0  79232.0  88544.0
16  0  0  365600.0  376384.0  78512.0  89120.0
24  0  0  365600.0  376384.0  78512.0  89120.0
32  0  0  379744.0  422928.0  79232.0  88544.0
