# threads  barman_cnpg1  barman_cnpg4  opera_cnpg1  opera_cnpg4  dalibo_cnpg1  dalibo_cnpg4
1  5439.2578125  5469.31640625  2751.97265625  3114.66796875  2347.03125  3015.17578125
8  0  0  5066.6015625  5013.515625  2490.64453125  3154.6875
16  0  0  5500.4296875  5831.42578125  2554.16015625  3142.03125
24  0  0  5615.390625  5910.234375  2628.80859375  3240.8203125
32  0  0  5386.640625  6254.23828125  2653.30078125  3111.97265625
