# threads  barman_cnpg1  barman_cnpg4  opera_cnpg1  opera_cnpg4  dalibo_cnpg1  dalibo_cnpg4
1  1760.0  1728.0  1808.0  1984.0  2864.0  3168.0
8  7552.0  8592.0  8960.0  9552.0  3088.0  3136.0
16  13328.0  13440.0  13904.0  15248.0  2912.0  3056.0
24  16448.0  16960.0  17776.0  18976.0  3104.0  3264.0
32  18160.0  18640.0  21024.0  20976.0  3152.0  3264.0
