timestamp archived_count delta_per_min last_archived_wal
22:56:24 18077 1265 00000001000000460000009C
22:57:26 19381 1304 000000010000004B000000B4
22:58:28 20695 1314 0000000100000050000000D6
22:59:30 22018 1323 000000010000005600000001
23:00:32 23334 1316 000000010000005B00000025
23:01:34 23732 398 000000010000005C000000B3
23:02:35 23732 0 000000010000005C000000B3
23:03:37 23732 0 000000010000005C000000B3
