timestamp lsn_bytes delta_kb rate_kb_s
00:41:58 16122794640 15744916 262415
00:43:02 18560567488 2380637 39677
00:44:07 21357375040 2731257 45520
00:45:11 24075147920 2654075 44234
00:46:16 26608567320 2474042 41234
00:47:20 29074790760 2408421 40140
00:48:25 31792762304 2654269 44237
00:49:29 35064347032 3194906 53248
