timestamp lsn_bytes delta_kb rate_kb_s
23:38:09 23118862912 22577014 376283
23:39:13 31943785136 8618088 143634
23:40:18 38077694440 5990145 99835
23:41:22 40500194072 2365722 39428
23:42:27 45482890504 4865914 81098
23:43:31 53500767920 7829958 130499
23:44:35 57940620208 4335793 72263
23:45:40 59626223352 1646096 27434
