procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 219176960   1600 38109796    0    0  6612 52764 7927    4  1  0 98  0  0  0
 9  0      0 219082724   1600 38109812    0    0     0  5079 5379 10874  0  0 100  0  0  0
 4  1      0 216072796   1600 39374180    0    0     0 820776 41343 523630  5  4 91  0  0  0
 2  1      0 213805228   1600 41170560    0    0     0 1274048 64494 783561  8  5 86  1  0  0
70  0      0 211356228   1600 42851580    0    0     0 1249096 84376 823735  9  5 85  0  0  0
 3  0      0 209184212   1600 44390216    0    0     0 1243604 149096 890473 14  7 79  0  0  0
 2  0      0 206831308   1600 45865884    0    0     0 1220996 171133 952053 15  7 78  0  0  0
139  0      0 204971516   1600 47178544    0    0     0 1194400 177206 987027 16  7 76  0  0  0
137  0      0 202832152   1600 48510740    0    0     0 1231720 184253 1084020 19  8 73  0  0  0
 2  2      0 201222936   1600 49737232    0    0     0 1271505 160841 863100 15  7 77  1  0  0
 4  0      0 199803764   1600 50886848    0    0     0 1480768 145649 587310 10  4 85  1  0  0
 1  1      0 198478532   1600 51981256    0    0     0 1452352 146686 640784 12  5 82  1  0  0
 3  0      0 197148524   1600 53024636    0    0     0 1481550 147903 638615 11  5 84  1  0  0
 2  1      0 196568508   1600 53499016    0    0     0 1219467 84891 338239  7  3 90  1  0  0
 3  0      0 195903472   1600 54012052    0    0     0 1190482 84138 347904  5  2 91  1  0  0
 1  1      0 195439848   1600 54488920    0    0     0 1201573 85644 362814  7  3 89  1  0  0
 0  2      0 194843464   1600 54969616    0    0     0 1192634 90113 369507  7  3 89  1  0  0
 1  2      0 194330068   1600 55445704    0    0     0 1192549 87358 395813  6  3 90  1  0  0
 1  1      0 193680980   1600 55949132    0    0     0 1178405 87713 416438 10  4 86  1  0  0
 1  0      0 193008484   1600 56425668    0    0     0 1204797 93051 425721  7  3 90  1  0  0
 1  1      0 192514248   1600 56892208    0    0     0 1176621 92677 432598  8  4 87  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 191880960   1600 57388048    0    0     0 1188527 94326 445470  9  4 86  1  0  0
 1  2      0 191286140   1600 57870172    0    0     0 1194661 96905 485570  8  3 88  1  0  0
 2  1      0 190705852   1600 58362064    0    0     0 1201102 100230 501080 10  4 86  1  0  0
 1  2      0 190159428   1600 58846668    0    0     0 1194398 102681 553259 13  5 81  1  0  0
 1  1      0 189552252   1600 59322008    0    0     0 1179453 102547 554699 12  5 82  1  0  0
 1  1      0 188968864   1600 59810100    0    0     0 1188876 105921 611340 15  6 78  1  0  0
 0  1      0 188354540   1600 60301804    0    0     0 1192861 109780 661506 10  4 85  1  0  0
 2  1      0 187802688   1600 60777028    0    0     0 1196819 114258 700111 15  6 78  1  0  0
 1  2      0 187145564   1600 61275096    0    0     0 1188500 118930 757317 14  6 79  1  0  0
 5  0      0 186596068   1600 61754352    0    0     0 1185131 125752 807164 19  8 72  1  0  0
214  1      0 185955736   1600 62271704    0    0     0 1199265 128995 932875 19  8 73  1  0  0
 1  1      0 185338828   1600 62779744    0    0     0 1188524 136413 1084800 24  8 68  1  0  0
192  0      0 184766120   1600 63266240    0    0     0 1185447 143634 1209637 23  9 67  1  0  0
181  2      0 184108328   1600 63790940    0    0     0 1205957 165565 1439036 32 12 55  0  0  0
 3  1      0 183506036   1600 64286828    0    0     0 1180075 175514 1789417 41 15 44  0  0  0
202  1      0 182998100   1600 64784484    0    0     0 1193399 191772 2176763 49 17 34  0  0  0
184  0      0 182412156   1600 65294592    0    0     0 1185438 176060 3139165 66 20 13  0  0  0
243  1      0 181988016   1600 65707788    0    0     0 1197651 169384 3284535 69 21 10  0  0  0
229  0      0 181722992   1600 66007944    0    0     0 1161069 166646 3240004 65 19 16  0  0  0
232  0      0 181367900   1600 66348832    0    0     0 1174550 152430 3294312 64 19 16  0  0  0
225  1      0 181164372   1600 66582704    0    0     0 1239710 140094 3312509 65 19 15  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
172  1      0 181030812   1600 66797924    0    0     0 1191420 145514 3294370 65 19 16  0  0  0
 3  0      0 180770612   1600 67074896    0    0     0 1187511 137241 3032548 60 17 23  0  0  0
 0  1      0 180241584   1600 67550952    0    0     0 1193991 70636 292381  5  2 92  1  0  0
 1  1      0 179809024   1600 68009928    0    0     0 1206147 75013 320043  7  3 90  1  0  0
 1  1      0 179416032   1600 68452456    0    0     0 1173845 69336 297560  6  2 91  1  0  0
 2  1      0 178900912   1600 68911476    0    0     0 1203983 77687 347116  6  2 91  1  0  0
 1  1      0 178504796   1600 69353996    0    0     0 1188425 76408 343126  8  3 88  1  0  0
 0  2      0 178016340   1600 69812984    0    0     0 1190475 75452 349587  6  2 91  1  0  0
136  1      0 177683220   1600 70239232    0    0     0 1184648 75135 351081  6  3 91  1  0  0
 1  1      0 177196816   1600 70714656    0    0     0 1188426 76720 366826  5  2 92  1  0  0
 1  0      0 176744948   1600 71157328    0    0     0 1194709 78136 380974  8  3 88  1  0  0
 3  0      0 176312124   1600 71599840    0    0     0 1185858 77013 391662  6  2 92  1  0  0
