procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 119119324 2948 138096756 0   0  1707 58647 5792    0  0  0 100 0  0  0
 1  0      0 119106272 2948 138098804 0   0     0    40 4742 6989  0  0 100 0  0  0
 0  0      0 119075316 2948 138115184 0   0     0 16418 6120 9439  0  0 100 0  0  0
56  0      0 117621344 2948 138115252 0   0     0     0 38367 10888 18 3 80 0  0  0
50  0      0 117728188 2948 138115388 0   0     0     8 120626 7838 36 5 59 0  0  0
18  0      0 117625104 2948 138115388 0   0     0     0 118029 6394 33 4 63 0  0  0
47  0      0 117606560 2948 138121044 0   0     0     4 98648 5347 27 4 69  0  0  0
54  0      0 117610260 2948 138121076 0   0     0     0 118455 13587 37 4 59 0 0  0
24  0      0 117563968 2948 138121076 0   0     0     0 107929 7844 26 3 70 0  0  0
21  0      0 117579620 2948 138121076 0   0     0     0 90523 10024 15 2 83 0  0  0
 7  0      0 117667476 2948 138121076 0   0     0     0 79022 6604 12 2 86  0  0  0
 7  0      0 117806336 2948 138120348 0   0     0     0 58671 4195 5  1 94  0  0  0
 7  0      0 117960404 2948 138119404 0   0     0     0 41314 2860 5  1 95  0  0  0
 9  0      0 118134864 2948 138118116 0   0     0     0 57219 4381 5  1 95  0  0  0
 4  0      0 118265180 2948 138116468 0   0     0     0 41768 5476 3  0 96  0  0  0
 0  0      0 118383916 2948 138116228 0   0     0     0 17256 3783 1  0 98  0  0  0
 1  0      0 118462000 2948 138115924 0   0     0    60 7174 2632  1  0 99  0  0  0
 0  0      0 118458652 2948 138115820 0   0     0     0 6156 5723  0  0 100 0  0  0
 0  0      0 118465100 2948 138115820 0   0     0     0 5429 4883  1  0 99  0  0  0
 1  0      0 118491204 2948 138132068 0   0     0 16384 4479 5811  0  0 100 0  0  0
 0  0      0 118526188 2948 138131992 0   0     0     4 6227 9009  0  0 100 0  0  0
