procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 210891604   1600 46109088    0    0  8676 228429 34461   33  8  2 90  0  0  0
 2  0      0 210871216   1600 46109092    0    0     0     0 8126 13887  0  0 100  0  0  0
 0  1      0 209870512   1600 46170088    0    0     0 128000 20116 112093  1  1 98  0  0  0
 0  1      0 208855784   1600 46667132    0    0     0 935624 51107 590542  5  5 90  1  0  0
 2  0      0 208216536   1600 47029812    0    0     0 789576 46677 503331  4  3 93  1  0  0
 0  1      0 207589532   1600 47315820    0    0     0 780536 55762 500277  6  3 90  1  0  0
 2  0      0 206868884   1600 47592216    0    0     0 775944 73999 545491  7  3 89  1  0  0
 0  1      0 206219104   1600 47810240    0    0     0 783496 95074 562638  7  4 88  1  0  0
 0  1      0 205595956   1600 47995232    0    0     0 804488 119331 601566  8  4 87  1  0  0
 0  1      0 204988616   1600 48161476    0    0     0 796232 120318 609001  5  3 91  1  0  0
109  0      0 204344300   1600 48290400    0    0     0 779784 119805 628195  9  4 86  1  0  0
 0  1      0 203844200   1600 48369424    0    0     0 782344 128273 683570 11  5 83  1  0  0
 0  1      0 203306692   1600 48707676    0    0     0 857602 98784 527504  8  4 88  1  0  0
 0  1      0 202566180   1600 49193516    0    0     0 890896 88387 436901  7  4 88  1  0  0
 3  1      0 201859404   1600 49707612    0    0     0 967259 91204 456432  7  4 88  1  0  0
 0  2      0 201249292   1600 50247376    0    0     0 1164848 75993 262144  4  2 93  1  0  0
 1  2      0 200672144   1600 50745088    0    0     0 1223061 80072 263647  4  2 93  1  0  0
 0  2      0 200050112   1600 51280964    0    0     0 1228876 84001 283247  4  2 92  1  0  0
 2  0      0 199425884   1600 51810048    0    0     0 1243787 85026 290262  3  1 95  1  0  0
 0  1      0 198840088   1600 52305812    0    0     0 1164110 83589 286685  3  2 94  1  0  0
 0  1      0 198333404   1600 52751156    0    0     0 1077221 81444 271839  4  2 93  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 197793320   1600 53196384    0    0     0 1086671 76927 279047  3  1 95  1  0  0
 1  1      0 197237704   1600 53657488    0    0     0 1088132 77558 288618  4  2 93  1  0  0
 0  2      0 196664092   1600 54113300    0    0     0 1062747 77681 301877  4  2 93  1  0  0
 1  2      0 196210572   1600 54541004    0    0     0 1003621 77837 287185  4  2 94  1  0  0
 0  1      0 195656064   1600 55001536    0    0     0 1088478 81329 324822  4  2 93  1  0  0
 0  2      0 195118388   1600 55468312    0    0     0 1102546 85530 345554  4  2 93  1  0  0
 3  0      0 194498868   1600 55928180    0    0     0 1085872 82342 342531  6  2 91  1  0  0
 0  1      0 193884004   1600 56434416    0    0     0 1149829 89198 368926  6  3 91  1  0  0
 0  2      0 193258536   1600 56926536    0    0     0 1169668 91238 389021  8  4 87  1  0  0
 1  1      0 192708912   1600 57402640    0    0     0 1119809 88586 393000  8  4 88  1  0  0
 0  1      0 192118192   1600 57861844    0    0     0 1073291 86434 398016  6  2 91  1  0  0
 2  0      0 191600668   1600 58301500    0    0     0 1043807 88617 396785  8  4 87  1  0  0
 0  2      0 191036388   1600 58747312    0    0     0 1058002 89000 426756  8  4 88  1  0  0
 5  1      0 190549176   1600 59189896    0    0     0 1030731 90638 444323  9  4 86  1  0  0
 1  1      0 190029572   1600 59632428    0    0     0 1049410 94467 467340  9  4 86  1  0  0
 0  2      0 189414760   1600 60111440    0    0     0 1071528 99434 502609  9  4 86  1  0  0
180  0      0 188822048   1600 60556996    0    0     0 1044537 98527 516934  8  4 88  1  0  0
 1  1      0 188275420   1600 61012788    0    0     0 1066945 102812 567442  9  3 87  1  0  0
 1  2      0 187699812   1600 61471612    0    0     0 1040740 100603 605656 13  6 81  1  0  0
159  0      0 187133060   1600 61930544    0    0     0 1081576 105611 663744 13  5 81  1  0  0
 0  1      0 186561988   1600 62416316    0    0     0 1072394 110285 713612 15  7 77  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 186000968   1600 62896176    0    0     0 1081870 121517 784836 15  6 78  1  0  0
 1  1      0 185393716   1600 63387776    0    0     0 1103516 126926 875967 20  8 72  1  0  0
 2  0      0 184809288   1600 63846672    0    0     0 1053875 125844 927072 21  9 70  1  0  0
 0  1      0 184232104   1600 64318284    0    0     0 1054402 135087 1050942 24 10 66  1  0  0
224  0      0 183682608   1600 64777228    0    0     0 1046947 144233 1227924 27 10 63  0  0  0
 1  1      0 183134012   1600 65239332    0    0     0 1032494 155419 1424795 33 12 55  0  0  0
166  1      0 182626560   1600 65702516    0    0     0 1013847 169755 1791959 39 14 46  0  0  0
217  1      0 182083556   1600 66166804    0    0     0 1006297 181631 2215817 50 18 32  0  0  0
239  0      0 181592952   1600 66612608    0    0     0 984188 169167 2802499 61 19 20  0  0  0
186  2      0 181197644   1600 66996032    0    0     0 1031890 164665 3198143 67 21 12  0  0  0
154  2      0 180873976   1600 67291712    0    0     0 992987 164174 3186491 64 19 16  0  0  0
231  2      0 180514164   1600 67636108    0    0     0 1076214 156580 3157666 63 20 17  0  0  0
200  1      0 180278560   1600 67872612    0    0     0 1169194 144947 3172130 63 20 17  0  0  0
275  2      0 180058744   1600 68104096    0    0     0 1158510 143496 3179979 63 20 17  0  0  0
227  1      0 180197352   1600 68008164    0    0     0 1111421 146004 3171759 63 20 17  0  0  0
106  0      0 184178152   1600 64024668    0    0     0 980568 74521 614594 10  3 86  1  0  0
 1  1      0 183758500   1600 64450704    0    0     0 1098331 67470 278713  6  3 90  1  0  0
 2  0      0 183357576   1600 64909536    0    0     0 1133513 68598 296399  4  1 94  1  0  0
 3  0      0 182901128   1600 65352028    0    0     0 1176367 70792 293225  6  2 91  1  0  0
 1  1      0 182501504   1600 65778332    0    0     0 1117859 69094 295103  6  2 91  1  0  0
 0  1      0 182045332   1600 66204820    0    0     0 1114843 66476 282351  5  2 92  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  1      0 181592192   1600 66631484    0    0     0 1108254 70653 301380  4  1 94  1  0  0
 1  1      0 181143456   1600 67077732    0    0     0 1161334 71924 304256  6  3 90  1  0  0
 2  0      0 180664072   1600 67553076    0    0     0 1176575 72224 321473  5  2 92  1  0  0
 0  0      0 180239704   1600 68013584    0    0     0 1136867 72734 312766  3  1 95  1  0  0
 1  1      0 179836936   1600 68408048    0    0     0 1004987 63171 278804  4  2 93  1  0  0
 0  1      0 179494652   1600 68784884    0    0     0 1000858 62849 267181  4  2 93  1  0  0
 0  1      0 179073364   1600 69178100    0    0     0 1009459 66745 293675  4  1 94  1  0  0
119  0      0 178677644   1600 69589752    0    0     0 1032115 71517 318165  6  2 91  1  0  0
 0  1      0 178264044   1600 69997328    0    0     0 1025210 67329 300771  5  2 92  1  0  0
 0  1      0 177886484   1600 70374164    0    0     0 997717 67549 303833  5  2 92  1  0  0
 1  1      0 177557936   1600 70734612    0    0     0 922700 63435 286675  5  2 92  1  0  0
 1  0      0 177191396   1600 71111440    0    0     0 925477 65100 317784  3  1 95  1  0  0
 1  1      0 176791924   1600 71515052    0    0     0 986578 68090 327729  5  2 92  1  0  0
 0  1      0 176382444   1600 71908268    0    0     0 999048 71339 354042  6  2 91  1  0  0
145  0      0 175900112   1600 72367348    0    0     0 1062376 77976 400429  9  4 87  1  0  0
 0  1      0 175411388   1600 72835252    0    0     0 1141222 81615 417886  8  3 88  1  0  0
 0  1      0 174982984   1600 73294696    0    0     0 1124778 80483 449475  7  3 90  1  0  0
 0  1      0 174512468   1600 73775528    0    0     0 1113117 83731 491487 10  4 85  1  0  0
 1  1      0 174101880   1600 74201576    0    0     0 1099137 85778 468328  7  3 89  1  0  0
109  0      0 173621008   1600 74661808    0    0     0 1116738 86515 518754 12  5 82  1  0  0
 2  2      0 173168392   1600 75104444    0    0     0 1098877 92782 564725 11  4 85  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 172670204   1600 75579640    0    0     0 1083125 87540 581354 10  4 86  1  0  0
 1  1      0 172210476   1600 76022784    0    0     0 1066849 96453 621996 13  5 82  1  0  0
 0  1      0 171791200   1600 76416068    0    0     0 1000216 91455 622918 11  4 84  1  0  0
146  0      0 171314452   1600 76884388    0    0     0 1001404 97511 737890 13  5 81  1  0  0
 0  1      0 170859512   1600 77315932    0    0     0 1031236 115476 799067 15  6 78  1  0  0
 0  1      0 170407392   1600 77758328    0    0     0 1039042 112951 849374 19  7 74  1  0  0
 0  1      0 169987232   1600 78184328    0    0     0 1020407 123492 974201 19  8 72  1  0  0
180  1      0 169548860   1600 78643172    0    0     0 1036888 136915 1120638 26 10 64  0  0  0
186  1      0 169081724   1600 79118308    0    0     0 1114296 154139 1416064 30 11 58  0  0  0
155  2      0 168615588   1600 79593600    0    0     0 1089918 172300 1685447 37 13 49  0  0  0
202  0      0 168171480   1600 80068828    0    0     0 1056232 189485 2154839 48 17 34  0  0  0
223  1      0 167694316   1600 80544084    0    0     0 1096063 178793 2893013 62 19 19  0  0  0
173  1      0 167298692   1600 80921028    0    0     0 1147525 152155 3254933 66 20 14  0  0  0
205  1      0 167008616   1600 81232476    0    0     0 1194437 151252 3191535 65 19 15  0  0  0
176  0      0 166718500   1600 81511092    0    0     0 1197320 147284 3203052 65 19 16  0  0  0
180  0      0 166485324   1600 81756936    0    0     0 1133874 145244 3195849 65 19 16  0  0  0
247  0      0 166274552   1600 81986352    0    0     0 1142973 147276 3207978 65 19 16  0  0  0
178  0      0 166029484   1600 82215964    0    0     0 1114781 149380 3208075 65 19 16  0  0  0
237  0      0 165794908   1600 82445408    0    0     0 1095181 144805 3214232 65 19 16  0  0  0
129  0      0 165577164   1600 82658556    0    0     0 1105800 145902 3208128 65 19 17  0  0  0
238  0      0 165355220   1600 82871776    0    0     0 1118139 152503 3179492 64 19 18  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 166864952   1600 81377084    0    0     0 976439 168008 3050286 62 17 20  0  0  0
 1  1      0 166400652   1600 81822708    0    0     0 1027561 71441 293615  4  2 93  1  0  0
 0  0      0 165921264   1600 82248692    0    0     0 1030730 66849 277137  5  2 92  1  0  0
 0  1      0 165471592   1600 82691064    0    0     0 1101631 69987 294530  5  2 93  1  0  0
 1  1      0 165111704   1600 83100672    0    0     0 1081813 65809 281711  3  1 95  1  0  0
 1  1      0 164637056   1600 83543088    0    0     0 1099275 72087 308999  6  3 91  1  0  0
 0  1      0 164230552   1600 83969100    0    0     0 1021151 70481 309996  5  2 92  1  0  0
 1  1      0 163822232   1600 84378712    0    0     0 1022384 68139 301288  7  3 90  1  0  0
 0  1      0 163423624   1600 84771964    0    0     0 997490 67423 292819  4  2 94  1  0  0
 1  1      0 163016572   1600 85181580    0    0     0 1016695 69772 329656  6  3 90  1  0  0
 1  1      0 162648884   1600 85558460    0    0     0 1007517 67329 302833  3  1 95  1  0  0
 0  1      0 162268056   1600 85951704    0    0     0 991160 71134 328806  5  2 93  1  0  0
 0  1      0 161874092   1600 86344960    0    0     0 992238 68611 337389  3  1 95  1  0  0
 3  0      0 161471200   1600 86738192    0    0     0 994872 70650 347584  6  3 90  1  0  0
 1  2      0 161029356   1600 87180604    0    0     0 1071404 79895 394835  7  3 90  1  0  0
 0  2      0 160600200   1600 87606688    0    0     0 1056517 77205 388464  7  3 90  1  0  0
 1  1      0 160181176   1600 88016364    0    0     0 1008419 75345 384902  9  4 87  1  0  0
 0  1      0 159731312   1600 88442548    0    0     0 1051221 76889 383983  6  3 90  1  0  0
