procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 8756380   1600 247785204    0    0 40832     0 8827 12925  0  0 100  0  0  0
 1  0      0 8672832   1600 247836500    0    0 51456     0 8852 12316  0  0 100  0  0  0
 0  0      0 8713984   1600 247799492    0    0 55168     4 8979 12696  0  0 100  0  0  0
 0  0      0 8667704   1600 247848708    0    0 49152     0 10699 19408  0  0 100  0  0  0
 0  0      0 8721308   1600 247821876    0    0 49152     0 10429 17676  0  0 100  0  0  0
 0  0      0 8739680   1600 247793428    0    0 65536     0 11297 16017  0  0 100  0  0  0
 1  0      0 8661972   1600 247842828    0    0 49280   256 13659 23122  0  0 100  0  0  0
 1  0      0 8628768   1600 247818512    0    0 65632    40 12596 18974  1  0 99  0  0  0
 2  0      0 8704268   1600 247787636    0    0 49152 10136 12425 20542  0  0 100  0  0  0
 0  0      0 8621892   1600 247851108    0    0 65536     0 12143 17383  0  0 100  0  0  0
 2  0      0 8640272   1600 247821680    0    0 49152    20 9931 16606  0  0 100  0  0  0
 0  0      0 8738552   1600 247732836    0    0 65536     0 10009 14342  0  0 100  0  0  0
 1  0      0 8680396   1600 247782044    0    0 49152     0 9021 13182  0  0 100  0  0  0
 0  0      0 8712384   1600 247753516    0    0 49152     0 9878 14560  0  0 99  0  0  0
 0  0      0 8692900   1600 247802764    0    0 49152     8 9814 15807  0  0 100  0  0  0
 0  0      0 8760152   1600 247759716    0    0 49208  2720 12592 18832  1  0 99  0  0  0
 0  0      0 8740140   1600 247748460    0    0 65536   238 10592 14199  0  0 100  0  0  0
 1  0      0 8683268   1600 247797680    0    0 49152     0 8015 11907  0  0 100  0  0  0
 0  0      0 8660512   1600 247771852    0    0 65536     0 11484 19518  0  0 100  0  0  0
 1  0      0 8686776   1600 247757596    0    0 65536     0 11246 17981  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 8631864   1600 247806844    0    0 49152     0 9868 13621  0  0 100  0  0  0
 1  0      0 8593916   1600 247780624    0    0 65536     0 11605 15636  0  0 99  0  0  0
 1  0      0 8694048   1600 247754892    0    0 65536     0 9362 12742  0  0 100  0  0  0
 1  0      0 8704704   1600 247743228    0    0 65536     0 10542 16301  0  0 100  0  0  0
 0  0      0 8651260   1600 247792544    0    0 49152     0 10852 18154  0  0 100  0  0  0
 1  0      0 8684136   1600 247778256    0    0 65536     0 11160 16911  0  0 100  0  0  0
 0  0      0 8689760   1600 247751296    0    0 65536     0 10296 15080  0  0 99  0  0  0
 0  0      0 8676768   1600 247800608    0    0 49152     0 9538 12732  0  0 100  0  0  0
 1  0      0 8671956   1600 247808700    0    0 65536     0 9634 14734  0  0 100  0  0  0
 0  0      0 8733540   1600 247760620    0    0 32768     0 7964 9681  0  0 100  0  0  0
 0  0      0 8696024   1600 247809868    0    0 49152     0 10027 15304  0  0 100  0  0  0
 1  0      0 8736700   1600 247765900    0    0 49152     0 7756 10403  0  0 100  0  0  0
 1  0      0 8721236   1600 247736504    0    0 49152     0 9311 14600  0  0 100  0  0  0
 0  1      0 8633352   1600 247797532    0    0 60544     0 9899 19196  0  0 100  0  0  0
 0  0      0 8611888   1600 247757592    0    0 54144  5224 10903 16551  0  0 100  0  0  0
 0  0      0 8643724   1600 247750504    0    0 65536     0 11276 17849  0  0 100  0  0  0
 1  0      0 8711016   1600 247721748    0    0 49152     0 10151 15913  0  0 100  0  0  0
 0  0      0 8654036   1600 247787448    0    0 65536     0 9209 12308  0  0 100  0  0  0
 0  0      0 8623440   1600 247836728    0    0 49152     0 9569 14893  0  0 99  0  0  0
 0  0      0 8658072   1600 247824360    0    0 65536   144 9304 12538  0  0 100  0  0  0
 1  0      0 8707260   1600 247811380    0    0 64640     0 9593 14915  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 8674612   1600 247861656    0    0 50048     0 9803 13309  1  0 99  0  0  0
 0  0      0 8674488   1600 247832900    0    0 49152     0 9807 13389  0  0 100  0  0  0
 2  0      0 8598052   1600 247882148    0    0 49152    12 8926 13925  0  0 100  0  0  0
 0  0      0 8768240   1600 247775576    0    0 49152     0 10554 17855  0  0 100  0  0  0
 1  0      0 8688016   1600 247857628    0    0 81920   500 12504 18162  0  0 100  0  0  0
 0  0      0 8665152   1600 247845148    0    0 49152     0 9610 14245  0  0 100  0  0  0
 1  0      0 8873160   1600 247869096    0    0 65536   233 10228 14823  0  0 100  0  0  0
 3  0      0 8853852   1600 247844524    0    0 49168 66080 18190 34441  0  0 99  0  0  0
 1  0      0 8738500   1600 247894472    0    0 49280   316 12079 18957  0  0 100  0  0  0
 1  0      0 8728328   1600 247865752    0    0 49152     0 10235 15590  0  0 100  0  0  0
 1  0      0 8737712   1600 247853392    0    0 65536     0 9885 13198  0  0 100  0  0  0
 1  0      0 8626120   1600 247902704    0    0 49152     0 9630 13571  0  0 100  0  0  0
 0  0      0 8602256   1600 247887404    0    0 65536     0 10835 15315  0  0 99  0  0  0
 0  0      0 8631068   1600 247845480    0    0 49152     4 10255 16725  0  0 100  0  0  0
 0  0      0 8668984   1600 247816792    0    0 49152     0 11125 15361  0  0 100  0  0  0
 1  0      0 8613420   1600 247877304    0    0 60544     0 10557 16241  0  0 100  0  0  0
 0  0      0 8658200   1600 247822352    0    0 37760     0 8379 12247  0  0 100  0  0  0
 0  0      0 8552208   1600 247888060    0    0 65612     0 12145 17452  0  0 99  0  0  0
 0  0      0 8560756   1600 247863476    0    0 49280   296 12469 19472  1  0 99  0  0  0
 0  0      0 8526108   1600 247912828    0    0 49152  5760 11774 17346  0  0 100  0  0  0
 1  0      0 8701288   1600 247808596    0    0 65536  3744 12856 19701  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 8652584   1600 247857848    0    0 49152     0 10091 13035  0  0 100  0  0  0
 0  0      0 8644948   1600 247863568    0    0 65536    20 12262 24152  0  0 99  0  0  0
 0  0      0 8685052   1600 247822716    0    0 49152     0 10653 16473  0  0 100  0  0  0
 0  0      0 8574668   1600 247888288    0    0 65536     0 12311 18429  0  0 99  0  0  0
 0  0      0 8614724   1600 247845996    0    0 49152     8 10540 16342  0  0 100  0  0  0
 0  0      0 8596632   1600 247820388    0    0 65536     0 10460 13392  0  0 100  0  0  0
