procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 119748532 3172 137568304 0   0    73 81790 4840    0  0  0 100 0  0  0
 0  0      0 119726768 3172 137571884 0   0     0     0 3545 3625  0  0 100 0  0  0
 1  0      0 119584028 3172 137574160 0   0     0 16415 7298 12920 1  0 99  0  0  0
 1  0      0 119371668 3172 137629684 0   0     0     0 8211 8488  1  0 99  0  0  0
 2  0      0 119339716 3172 137667576 0   0     0     0 18037 6114 1  0 99  0  0  0
 1  0      0 119327824 3172 137683660 0   0     0    24 15981 13848 1 0 99  0  0  0
 2  0      0 119356312 3172 137653040 0   0     0    32 11908 4187 1  0 99  0  0  0
 1  0      0 119346296 3172 137664376 0   0     0    32 14074 5130 1  0 99  0  0  0
 1  0      0 119386248 3172 137635832 0   0     0    16 14254 5535 1  0 99  0  0  0
 1  0      0 119381784 3172 137640760 0   0     0   107 11448 3684 1  0 99  0  0  0
 1  0      0 119374196 3172 137623312 0   0     0     0 8100 3521  1  0 99  0  0  0
 1  0      0 119324436 3172 137626868 0   0     0     0 7881 3469  1  0 99  0  0  0
 1  0      0 119309396 3172 137608988 0   0     0     0 8666 4291  1  0 99  0  0  0
 1  0      0 119271272 3172 137589852 0   0     0     0 10890 3596 1  0 99  0  0  0
 1  0      0 119249652 3172 137589664 0   0     0     0 8671 3693  1  0 99  0  0  0
 1  0      0 119201396 3172 137629620 0   0     0     0 10731 9262 1  0 99  0  0  0
 1  0      0 119181152 3172 137626172 0   0     0     0 8136 3866  1  0 99  0  0  0
 1  0      0 119145716 3172 137624664 0   0     0     0 7715 5123  1  0 99  0  0  0
 1  0      0 119086444 3172 137627140 0   0     0     0 9302 4535  1  0 99  0  0  0
 2  0      0 119086704 3172 137610700 0   0     0     0 9615 3178  1  0 99  0  0  0
 1  0      0 119056092 3172 137613772 0   0     0     0 11537 8322 1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 119011928 3172 137595484 0   0     0     0 8006 3079  1  0 99  0  0  0
 1  0      0 118987048 3172 137617000 0   0     0     0 10263 3922 1  0 99  0  0  0
 1  0      0 118931600 3172 137616024 0   0     0     0 9223 3504  1  0 99  0  0  0
 2  0      0 118910664 3172 137590288 0   0     0     0 8048 3997  1  0 99  0  0  0
 2  0      0 118901144 3172 137605720 0   0     0  2244 11710 8477 1  0 99  0  0  0
 2  0      0 118870744 3172 137601672 0   0     0     0 9090 4063  1  0 99  0  0  0
 1  0      0 118817592 3172 137622376 0   0     0     0 10821 4899 1  0 99  0  0  0
 1  0      0 118798356 3172 137619380 0   0     0    44 10787 5238 1  0 99  0  0  0
 1  0      0 118799344 3172 137597064 0   0     0    20 11831 3542 1  0 99  0  0  0
 1  0      0 118779948 3172 137596860 0   0     0     0 9831 3310  1  0 99  0  0  0
 1  0      0 118780888 3172 137600316 0   0     0     0 8506 2973  1  0 99  0  0  0
 3  0      0 118742968 3172 137602288 0   0     0 20980 9664 4227  1  0 99  0  0  0
 1  0      0 118911004 3172 137603300 0   0     0     0 8618 3286  1  0 99  0  0  0
 1  0      0 118891020 3172 137620268 0   0     0    20 8283 3575  1  0 99  0  0  0
 1  0      0 118877456 3172 137604380 0   0     0     0 13663 13542 1 0 99  0  0  0
 1  0      0 118915920 3172 137625720 0   0     0     0 9127 4013  1  0 99  0  0  0
 1  0      0 118868712 3172 137628152 0   0     0     0 11019 4922 1  0 99  0  0  0
 1  0      0 118858992 3172 137604316 0   0     0     0 10672 4248 1  0 99  0  0  0
 2  0      0 118809272 3172 137646840 0   0     0   126 8287 2943  1  0 99  0  0  0
 1  0      0 118845508 3172 137601244 0   0     0     0 10831 3498 1  0 99  0  0  0
 1  0      0 118742796 3172 137639820 0   0     0     0 8617 2729  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 118741884 3172 137592724 0   0     0    16 10030 2872 1  0 99  0  0  0
 1  0      0 118688660 3172 137595640 0   0     0     0 9430 3343  1  0 99  0  0  0
 1  0      0 118718428 3172 137613212 0   0     0     0 10073 4210 1  0 99  0  0  0
 1  0      0 118781712 3172 137612536 0   0     0     0 12662 8230 1  0 99  0  0  0
 1  0      0 118822636 3172 137652816 0   0     0    16 9323 3533  1  0 99  0  0  0
 1  0      0 118782988 3172 137653368 0   0     0     0 11065 5088 1  0 99  0  0  0
 1  0      0 118752260 3172 137627636 0   0     0     0 10551 4771 1  0 99  0  0  0
 1  0      0 118889008 3172 137623804 0   0     0     0 9261 3056  1  0 99  0  0  0
 1  0      0 118859620 3172 137598692 0   0     0     0 9272 7950  1  0 99  0  0  0
 1  0      0 118800524 3172 137593152 0   0     0     0 9167 2966  1  0 99  0  0  0
 1  0      0 118766564 3172 137593224 0   0     0     0 9480 3907  1  0 99  0  0  0
 1  0      0 118733612 3172 137609340 0   0     0     0 7503 3219  1  0 99  0  0  0
 1  0      0 118875844 3172 137605048 0   0     0     0 7771 3422  1  0 99  0  0  0
 1  0      0 118839928 3172 137599792 0   0     0   124 11125 8723 1  0 99  0  0  0
 1  0      0 118789840 3172 137618324 0   0     0     0 8804 3928  1  0 99  0  0  0
 1  0      0 118792176 3172 137633300 0   0     0     0 9196 4514  1  0 99  0  0  0
 5  0      0 118834008 3172 137607596 0   0     0     0 8824 4221  1  0 99  0  0  0
 1  0      0 118844280 3172 137603520 0   0     0     0 7986 3530  1  0 99  0  0  0
 1  0      0 118827336 3172 137619660 0   0     0     0 9114 3776  1  0 99  0  0  0
 1  0      0 118913988 3172 137594800 0   0     0    12 8511 2405  1  0 99  0  0  0
 1  0      0 118848320 3172 137594036 0   0     0     0 7057 3223  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 118906020 3172 137609688 0   0     0     4 8981 3799  1  0 99  0  0  0
