timestamp object_count delta rate_per_min
06:12:41 792 792 792
06:13:43 1000 208 208
06:14:45 1228 228 228
06:15:47 1451 223 223
06:16:49 1673 222 222
06:17:51 1910 237 237
06:18:53 2156 246 246
06:19:55 2393 237 237
06:20:57 2592 199 199
06:21:59 2813 221 221
06:23:02 3022 209 209
06:24:05 3218 196 196
06:25:08 3420 202 202
06:26:11 3581 161 161
06:27:14 3699 118 118
