plugin	wal_threads	phase	metric	value	unit
barman	16	pgbench	rows_updated_per_s	369373	rows_updated/s
barman	16	pgbench	tps	18468.659000	tps
barman	16	pgbench	duration_s	962	s
barman	16	wal_gen	total_gb	367.34	GB
barman	16	wal_gen	avg_rate_kb_s	429800	KB/s
barman	16	wal_during	avg_archive_segs_per_min	730	segs/min
barman	16	wal_during	avg_archive_mb_per_min	11680	MB/min
barman	16	wal_drain	drain_time_s	480+	s
barman	16	wal_drain	avg_rate_segs_per_min	840	segs/min
barman	16	wal_drain	avg_drain_segs_per_min	840	segs/min
barman	16	wal_drain	avg_drain_mb_per_min	13440	MB/min
barman	24	pgbench	rows_updated_per_s	367417	rows_updated/s
barman	24	pgbench	tps	18370.867658	tps
barman	24	pgbench	duration_s	963	s
barman	24	wal_gen	total_gb	360.77	GB
barman	24	wal_gen	avg_rate_kb_s	422402	KB/s
barman	24	wal_during	avg_archive_segs_per_min	890	segs/min
barman	24	wal_during	avg_archive_mb_per_min	14240	MB/min
barman	24	wal_drain	drain_time_s	480+	s
barman	24	wal_drain	avg_rate_segs_per_min	1060	segs/min
barman	24	wal_drain	avg_drain_segs_per_min	1060	segs/min
barman	24	wal_drain	avg_drain_mb_per_min	16960	MB/min
opera	16	pgbench	rows_updated_per_s	395813	rows_updated/s
opera	16	pgbench	tps	19790.649610	tps
opera	16	pgbench	duration_s	962	s
opera	16	wal_gen	total_gb	366.60	GB
opera	16	wal_gen	avg_rate_kb_s	425029	KB/s
opera	16	wal_during	avg_archive_segs_per_min	899	segs/min
opera	16	wal_during	avg_archive_mb_per_min	14384	MB/min
opera	16	wal_drain	drain_time_s	480+	s
opera	16	wal_drain	avg_rate_segs_per_min	953	segs/min
opera	16	wal_drain	avg_drain_segs_per_min	953	segs/min
opera	16	wal_drain	avg_drain_mb_per_min	15248	MB/min
opera	24	pgbench	rows_updated_per_s	387147	rows_updated/s
opera	24	pgbench	tps	19357.356872	tps
opera	24	pgbench	duration_s	962	s
opera	24	wal_gen	total_gb	354.89	GB
opera	24	wal_gen	avg_rate_kb_s	417774	KB/s
opera	24	wal_during	avg_archive_segs_per_min	1074	segs/min
opera	24	wal_during	avg_archive_mb_per_min	17184	MB/min
opera	24	wal_drain	drain_time_s	480+	s
opera	24	wal_drain	avg_rate_segs_per_min	1186	segs/min
opera	24	wal_drain	avg_drain_segs_per_min	1186	segs/min
opera	24	wal_drain	avg_drain_mb_per_min	18976	MB/min
dalibo	16	pgbench	rows_updated_per_s	394044	rows_updated/s
dalibo	16	pgbench	tps	19702.215515	tps
dalibo	16	pgbench	duration_s	964	s
dalibo	16	wal_gen	total_gb	359.14	GB
dalibo	16	wal_gen	avg_rate_kb_s	422112	KB/s
dalibo	16	wal_during	avg_archive_segs_per_min	219	segs/min
dalibo	16	wal_during	avg_archive_mb_per_min	3504	MB/min
dalibo	16	wal_drain	drain_time_s	480+	s
dalibo	16	wal_drain	avg_rate_segs_per_min	191	segs/min
dalibo	16	wal_drain	avg_drain_segs_per_min	191	segs/min
dalibo	16	wal_drain	avg_drain_mb_per_min	3056	MB/min
dalibo	24	pgbench	rows_updated_per_s	392470	rows_updated/s
dalibo	24	pgbench	tps	19623.502941	tps
dalibo	24	pgbench	duration_s	963	s
dalibo	24	wal_gen	total_gb	349.96	GB
dalibo	24	wal_gen	avg_rate_kb_s	404865	KB/s
dalibo	24	wal_during	avg_archive_segs_per_min	215	segs/min
dalibo	24	wal_during	avg_archive_mb_per_min	3440	MB/min
dalibo	24	wal_drain	drain_time_s	480+	s
dalibo	24	wal_drain	avg_rate_segs_per_min	204	segs/min
dalibo	24	wal_drain	avg_drain_segs_per_min	204	segs/min
dalibo	24	wal_drain	avg_drain_mb_per_min	3264	MB/min
barman	1	restore	base_restore_s	79	s
barman	1	restore	total_restore_s	590	s
barman	1	restore	wal_replay_s	511	s
barman	1	restore	avg_fetch_segs_per_min	22741	segs/min
barman	1	restore	avg_replay_kb_s	93343	KB/s
opera	16	restore	base_restore_s	130	s
opera	16	restore	total_restore_s	644	s
opera	16	restore	wal_replay_s	514	s
opera	16	restore	avg_fetch_segs_per_min	23524	segs/min
opera	16	restore	avg_replay_kb_s	99523	KB/s
opera	24	restore	base_restore_s	130	s
opera	24	restore	total_restore_s	642	s
opera	24	restore	wal_replay_s	512	s
opera	24	restore	avg_fetch_segs_per_min	23524	segs/min
opera	24	restore	avg_replay_kb_s	100868	KB/s
dalibo	16	restore	base_restore_s	41	s
dalibo	16	restore	total_restore_s	552	s
dalibo	16	restore	wal_replay_s	511	s
dalibo	16	restore	avg_fetch_segs_per_min	5570	segs/min
dalibo	16	restore	avg_replay_kb_s	53624	KB/s
dalibo	24	restore	base_restore_s	35	s
dalibo	24	restore	total_restore_s	544	s
dalibo	24	restore	wal_replay_s	509	s
dalibo	24	restore	avg_fetch_segs_per_min	5570	segs/min
dalibo	24	restore	avg_replay_kb_s	55310	KB/s
