size_gb	plugin	jobs	operation	time_sec
128	barman	1	backup	229
128	barman	8	backup	122
128	barman	32	backup	123
128	barman	64	backup	122
128	barman	128	backup	117
128	barman	1	restore	439
128	opera	1	backup	542
128	opera	8	backup	79
128	opera	32	backup	36
128	opera	64	backup	23
128	opera	128	backup	30
128	opera	1	restore	741
128	opera	8	restore	212
128	opera	32	restore	171
128	opera	64	restore	167
128	opera	128	restore	169
128	dalibo	1	backup	527
128	dalibo	1	restore	782
