timestamp lsn_bytes lsn_delta_kb rate_kb_s
15:56:37 14037942272 13708928 6854464
15:56:40 16684670976 2584696 861565
15:56:42 19109240832 2367744 1183872
15:56:44 21374173184 2211848 1105924
15:56:46 22699573248 1294336 647168
15:56:49 24008196096 1277952 425984
15:56:51 25249693696 1212400 606200
15:56:53 26491224064 1212432 606216
15:56:55 27615297536 1097728 548864
15:56:57 28705816576 1064960 532480
15:57:00 29961691136 1226440 408813
15:57:02 31152062464 1162472 581236
15:57:05 32418578432 1236832 412277
15:57:07 33604763648 1158384 579192
15:57:09 34834694144 1201104 600552
15:57:12 36138115072 1272872 424290
15:57:14 37329305600 1163272 581636
15:57:16 38601809920 1242680 621340
15:57:19 39763058688 1134032 378010
15:57:21 40531640320 750568 375284
15:57:23 41204842496 657424 328712
15:57:26 42530234368 1294328 431442
15:57:28 43583881216 1028952 514476
15:57:31 44912607232 1297584 432528
15:57:33 46019903488 1081344 540672
15:57:36 47261417472 1212416 404138
15:57:38 48392339456 1104416 552208
15:57:41 49610219520 1189336 396445
15:57:43 50734301184 1097736 548868
15:57:46 51979255808 1215776 405258
15:57:48 53150212096 1143512 571756
15:57:50 54525952000 1343496 671748
15:57:53 55700357120 1146880 382293
15:57:55 57008979968 1277952 638976
15:57:58 57894576128 864840 288280
15:58:00 58647647144 735420 367710
15:58:03 59430707200 764707 254902
15:58:05 60077192648 631333 315666
15:58:08 60907044864 810402 270134
15:58:10 62096236544 1161320 580660
15:58:12 63199772672 1077672 538836
15:58:15 64357400576 1130496 376832
15:58:17 65481474048 1097728 548864
15:58:20 66672656384 1163264 387754
15:58:22 67779952640 1081344 540672
15:58:24 68954357760 1146880 573440
15:58:27 70095208448 1114112 371370
15:58:29 71303168000 1179648 589824
15:58:31 72460795904 1130496 565248
15:58:34 73685532672 1196032 398677
15:58:36 74977378304 1261568 630784
15:58:39 76368863232 1358872 452957
15:58:42 77410074624 1016808 338936
15:58:44 78081163264 655360 327680
15:58:46 78709858304 613960 306980
15:58:49 79373008896 647608 215869
15:58:51 80069074944 679752 339876
15:58:54 81386258432 1286312 428770
15:58:56 82560679936 1146896 573448
15:58:59 83684753408 1097728 365909
15:59:01 84853653504 1141504 570752
