timestamp object_count delta rate_per_min
19:58:25 26537 26537 26537
19:59:36 26537 0 0
20:00:47 26537 0 0
20:01:58 26537 0 0
20:03:09 26537 0 0
20:04:20 26537 0 0
20:05:31 26537 0 0
20:06:43 26537 0 0
20:07:54 26537 0 0
20:09:05 26537 0 0
20:10:17 26537 0 0
20:11:28 26537 0 0
20:12:40 26537 0 0
20:13:52 26537 0 0
20:15:03 26537 0 0
20:16:14 26537 0 0
20:17:25 26537 0 0
20:18:37 26537 0 0
20:19:47 26537 0 0
20:20:59 26537 0 0
20:22:10 26537 0 0
20:23:20 26537 0 0
20:24:31 26537 0 0
20:25:43 26537 0 0
20:26:54 26537 0 0
20:28:05 26537 0 0
20:29:17 26537 0 0
20:30:29 26537 0 0
20:31:41 26537 0 0
20:32:52 26537 0 0
