Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-58-166.ec2.internal) 	06/04/26 	_x86_64_	(128 CPU)

02:42:06        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:42:10    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:10    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:10    enic47e233eae6      5.00      6.00      0.42      0.50      0.00      0.00      0.00      0.00
02:42:10    eni0afda04f433      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:10    enidbf23aa60a5      6.00      7.00      0.89      1.00      0.00      0.00      0.00      0.00
02:42:10    eni18e702d09ed      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:10    eni57210d8fe98   9098.00  17773.00 272463.37   1020.35      0.00      0.00      0.00     22.32

02:42:10        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:42:11           lo    215.00    215.00     15.42     15.42      0.00      0.00      0.00      0.00
02:42:11         ens5  18632.00 183938.00    883.40 317478.39      0.00      0.00      0.00      0.00
02:42:11    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:11    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:11         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:11    eni46def74d622      5.00      7.00      1.18      0.61      0.00      0.00      0.00      0.00
02:42:11    eni863f1470662     20.00     23.00      4.75      2.62      0.00      0.00      0.00      0.00
02:42:11    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:11    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:11    eni7a106f4e85a      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:11    eni6d04481d948      5.00      4.00      1.01      0.96      0.00      0.00      0.00      0.00
02:42:11    eni95c2a9260c8      5.00      4.00      0.96      1.06      0.00      0.00      0.00      0.00
02:42:11    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:11    eni0afda04f433      4.00      3.00      0.75      0.74      0.00      0.00      0.00      0.00
02:42:11    enidbf23aa60a5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:11    eni18e702d09ed      3.00      3.00      0.72      0.77      0.00      0.00      0.00      0.00
02:42:11    eni57210d8fe98  11369.00  18532.00 308300.22   1040.28      0.00      0.00      0.00     25.26

02:42:11        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:42:12           lo    169.00    169.00     13.02     13.02      0.00      0.00      0.00      0.00
02:42:12         ens5  15203.00 173318.00    723.66 306653.87      0.00      0.00      0.00      0.00
02:42:12    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12    eni46def74d622      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12    eni863f1470662      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12    eni7a106f4e85a      4.00      3.00      0.76      0.75      0.00      0.00      0.00      0.00
02:42:12    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12    eni0afda04f433      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12    enidbf23aa60a5      5.00      5.00      0.85      0.98      0.00      0.00      0.00      0.00
02:42:12    eni18e702d09ed      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:12    eni57210d8fe98  11020.00  15163.00 298021.44    859.95      0.00      0.00      0.00     24.41

02:42:12        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:42:13           lo    161.00    161.00     12.59     12.59      0.00      0.00      0.00      0.00
02:42:13         ens5  13585.00 165044.00    650.84 291068.54      0.00      0.00      0.00      0.00
02:42:13    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:13    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:13         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:13    eni46def74d622      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:13    eni863f1470662      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:13    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:13    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:13    eni7a106f4e85a      8.00     12.00      2.63      2.51      0.00      0.00      0.00      0.00
02:42:13    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:13    eni95c2a9260c8      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
02:42:13    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:13    eni0afda04f433      5.00      3.00      0.85      0.74      0.00      0.00      0.00      0.00
02:42:13    enidbf23aa60a5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:13    eni18e702d09ed      3.00      3.00      0.72      0.76      0.00      0.00      0.00      0.00
02:42:13    eni57210d8fe98  10282.00  13548.00 282838.93    774.85      0.00      0.00      0.00     23.17

02:42:13        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:42:14           lo    149.00    149.00     11.88     11.88      0.00      0.00      0.00      0.00
02:42:14         ens5  16073.00 167538.00    758.78 285815.52      0.00      0.00      0.00      0.00
02:42:14    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:14    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:14         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:14    eni46def74d622      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:14    eni863f1470662      1.00      1.00      0.06      0.16      0.00      0.00      0.00      0.00
02:42:14    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:14    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:14    eni7a106f4e85a     13.00     15.00      3.46      3.50      0.00      0.00      0.00      0.00
02:42:14    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:14    eni95c2a9260c8      1.00      1.00      0.06      0.16      0.00      0.00      0.00      0.00
02:42:14    enic47e233eae6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:14    eni0afda04f433      0.00      1.00      0.00      0.06      0.00      0.00      0.00      0.00
02:42:14    enidbf23aa60a5      3.00      4.00      0.68      0.80      0.00      0.00      0.00      0.00
02:42:14    eni18e702d09ed      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:14    eni57210d8fe98   9980.00  16033.00 277447.65    898.51      0.00      0.00      0.00     22.73

02:42:14        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:42:15           lo    151.00    151.00     12.16     12.16      0.00      0.00      0.00      0.00
02:42:15         ens5  15171.00 173663.00    719.36 298516.09      0.00      0.00      0.00      0.00
02:42:15    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:15    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:15         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:15    eni46def74d622     10.00     13.00      4.35      2.60      0.00      0.00      0.00      0.00
02:42:15    eni863f1470662     11.00     14.00      4.42      2.76      0.00      0.00      0.00      0.00
02:42:15    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:15    enic667095f2f6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:15    eni7a106f4e85a      2.00      2.00      0.16      0.28      0.00      0.00      0.00      0.00
02:42:15    eni6d04481d948      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:15    eni95c2a9260c8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:15    enic47e233eae6      5.00      5.00      0.42      0.44      0.00      0.00      0.00      0.00
02:42:15    eni0afda04f433      5.00      8.00      0.82      1.07      0.00      0.00      0.00      0.00
02:42:15    enidbf23aa60a5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:15    eni18e702d09ed      3.00      3.00      0.72      0.76      0.00      0.00      0.00      0.00
02:42:15    eni57210d8fe98  10778.00  15132.00 290042.22    852.87      0.00      0.00      0.00     23.76

02:42:15        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:42:16           lo    208.00    208.00     14.99     14.99      0.00      0.00      0.00      0.00
02:42:16         ens5  15766.00 174861.00    751.46 304736.10      0.00      0.00      0.00      0.00
02:42:16    eni9c774036886      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:16    eni5fd491a8520      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:16         ens6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:42:16    eni46def74d622      2.00      2.00      0.13      0.13      0.00      0.00      0.00      0.00
02:42:16    eni863f1470662      5.00      5.00      0.50      0.44      0.00      0.00      0.00      0.00
02:42:16    eni637ff84c0bb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
