timestamp rx_kb/s tx_kb/s
19:01:40 0 0
19:01:41 62 3895
19:01:42 221 16144
19:01:43 144 12094
19:01:44 158 12006
19:01:45 185 16097
19:01:46 190 15924
19:01:47 140 11894
19:01:48 164 11938
19:01:49 117 11904
19:01:50 236 15709
19:01:51 195 15715
19:01:52 166 11720
19:01:53 127 11617
19:01:54 205 15612
19:01:55 182 11622
19:01:56 171 11528
19:01:57 175 15348
19:01:58 129 11492
19:01:59 169 15198
19:02:00 163 11357
19:02:01 136 11284
19:02:02 144 11254
19:02:03 171 11210
19:02:04 179 11373
19:02:05 142 11096
19:02:06 171 11103
19:02:07 95 11161
19:02:08 207 11214
19:02:09 210 14597
19:02:10 196 10886
19:02:11 186 11780
19:02:12 258 13686
19:02:13 96 7216
19:02:14 188 10792
19:02:15 134 10685
19:02:16 190 10623
19:02:17 175 11009
19:02:18 112 10196
19:02:19 169 10530
19:02:20 87 6936
19:02:21 202 10405
19:02:22 172 10444
19:02:23 151 13866
19:02:24 216 13976
19:02:25 193 11396
19:02:26 163 12608
19:02:27 199 13472
19:02:28 164 10180
19:02:29 148 13567
19:02:30 158 10026
19:02:31 173 9971
19:02:32 200 13132
19:02:33 149 9771
19:02:34 123 13054
19:02:35 224 13139
19:02:36 156 9662
19:02:37 162 10040
19:02:38 111 12327
19:02:39 133 9653
19:02:40 189 11206
19:02:41 132 11113
19:02:42 189 12491
19:02:43 135 12427
19:02:44 102 9194
19:02:45 163 12308
19:02:46 200 9183
19:02:47 164 12052
19:02:48 122 9067
19:02:49 159 9460
19:02:50 136 11525
19:02:51 231 11774
19:02:52 212 8903
19:02:53 182 11711
19:02:54 135 8743
19:02:55 161 11531
19:02:56 108 8641
19:02:57 110 8536
19:02:58 139 8399
19:02:59 138 11274
19:03:00 99 8449
19:03:01 142 8462
19:03:02 79 5511
19:03:03 93 5694
19:03:04 175 10986
19:03:05 108 8343
19:03:06 79 5440
19:03:07 211 11319
19:03:08 169 10856
19:03:09 186 10791
19:03:10 152 10621
19:03:11 202 9588
19:03:12 137 8930
19:03:13 236 10489
19:03:14 153 10345
19:03:15 146 7620
19:03:16 200 12787
19:03:17 115 7512
19:03:18 151 9928
19:03:19 191 10010
19:03:20 176 7422
19:03:21 156 9977
19:03:22 198 9874
19:03:23 123 7292
19:03:24 117 9618
19:03:25 125 7177
19:03:26 157 9468
19:03:27 120 7111
19:03:28 113 9353
19:03:29 178 9358
19:03:30 154 6911
19:03:31 168 9170
19:03:32 187 9134
19:03:33 163 9203
19:03:34 194 11195
19:03:35 158 8859
19:03:36 178 8877
19:03:37 131 8760
19:03:38 166 8678
19:03:39 168 8570
19:03:40 162 8664
19:03:41 156 6343
19:03:42 176 8431
19:03:43 215 8382
19:03:44 166 8343
19:03:45 139 6229
19:03:46 183 8161
19:03:47 224 8091
19:03:48 182 6217
19:03:49 203 8375
19:03:50 137 6122
19:03:51 173 8016
19:03:52 188 6082
19:03:53 146 7989
19:03:54 153 7899
19:03:55 173 7811
19:03:56 161 7600
19:03:57 165 7686
19:03:58 170 7840
19:03:59 170 9541
19:04:00 143 5572
19:04:01 195 7504
19:04:02 176 7497
19:04:03 197 5599
19:04:04 215 9336
19:04:05 178 7320
19:04:06 178 7373
19:04:07 154 7232
19:04:08 148 7197
19:04:09 162 7300
19:04:10 163 7145
19:04:11 158 7069
19:04:12 193 7112
19:04:13 192 7065
19:04:14 169 8753
19:04:15 167 13099
19:04:16 132 9845
19:04:17 174 9795
19:04:18 182 12905
19:04:19 124 9640
19:04:20 139 9709
19:04:21 179 12865
19:04:22 144 9617
19:04:23 116 9560
19:04:24 137 9601
19:04:25 136 9551
19:04:26 132 12697
19:04:27 159 9518
19:04:28 190 9430
19:04:29 128 9493
19:04:30 192 9353
19:04:31 199 9439
19:04:32 128 9452
19:04:33 201 12584
19:04:34 141 9416
19:04:35 152 9298
19:04:36 185 9215
19:04:37 220 12324
19:04:38 236 12649
19:04:39 135 9342
19:04:40 194 12247
19:04:41 166 12361
19:04:42 190 10499
19:04:43 190 10996
19:04:44 122 9164
19:04:45 207 12073
19:04:46 155 9176
19:04:47 226 12110
19:04:48 154 8969
19:04:50 222 12183
19:04:51 159 8919
19:04:52 180 11973
19:04:53 296 11755
19:04:54 217 11873
19:04:55 181 11495
19:04:56 184 9347
19:04:57 221 11878
19:04:58 196 11622
19:04:59 239 11741
19:05:00 152 8676
19:05:01 228 11623
19:05:02 164 8813
19:05:03 111 8726
19:05:04 119 8778
19:05:05 121 11595
19:05:06 225 11686
19:05:07 184 8549
19:05:08 210 11473
19:05:09 177 8545
19:05:10 135 8289
19:05:11 200 11670
19:05:12 161 8401
19:05:13 152 11461
19:05:14 175 8420
19:05:15 141 8502
19:05:16 182 11128
19:05:17 108 8343
19:05:18 138 8345
19:05:19 181 11357
19:05:20 121 8275
19:05:21 204 10984
19:05:22 162 8234
19:05:23 202 10812
19:05:24 155 8128
19:05:25 164 10792
19:05:26 201 9221
19:05:27 152 9873
19:05:28 134 8183
19:05:29 196 10794
19:05:30 180 10764
19:05:31 136 8049
19:05:32 198 10588
19:05:33 127 10686
19:05:34 115 7918
19:05:35 126 10699
19:05:36 116 7870
19:05:37 212 10541
19:05:38 163 7838
19:05:39 180 10506
19:05:40 240 10458
19:05:41 110 7859
19:05:42 185 10393
19:05:43 163 10354
19:05:44 128 7828
19:05:45 166 10288
19:05:46 183 10378
19:05:47 155 7759
19:05:48 185 10167
19:05:49 136 10152
19:05:50 135 10170
19:05:51 234 10083
19:05:52 124 7609
19:05:53 178 9132
19:05:54 90 5913
19:05:55 111 7563
19:05:56 158 9826
19:05:57 168 7488
19:05:58 173 10133
19:05:59 113 7348
19:06:00 106 7460
19:06:01 208 9919
19:06:02 93 4750
19:06:03 100 7360
19:06:04 157 7277
19:06:05 123 7318
19:06:06 157 7266
19:06:07 147 7298
19:06:08 140 7235
19:06:09 196 9927
19:06:10 100 7211
19:06:11 161 7287
19:06:12 170 7295
19:06:13 132 9526
19:06:14 197 9472
19:06:15 163 9462
19:06:16 167 7088
19:06:17 159 9439
19:06:18 166 9664
19:06:19 202 9583
19:06:20 167 6927
19:06:21 190 9264
19:06:22 178 9185
19:06:23 184 11527
19:06:24 129 9268
19:06:25 178 9266
19:06:26 153 6915
19:06:27 132 9339
19:06:28 98 6902
19:06:29 233 8961
19:06:30 172 8922
19:06:31 200 9133
19:06:32 259 9028
19:06:33 170 9015
19:06:34 162 8967
19:06:35 129 6746
19:06:36 153 8927
19:06:37 226 9012
19:06:38 155 8799
19:06:39 164 8853
19:06:40 181 8789
19:06:41 170 8670
19:06:42 183 6813
19:06:43 160 8796
19:06:44 178 6506
19:06:45 100 6449
19:06:46 189 8859
19:06:47 168 6536
19:06:48 111 6504
19:06:49 151 8668
19:06:50 210 6562
19:06:51 212 8477
19:06:52 190 8524
19:06:53 160 8703
19:06:54 150 6438
19:06:55 190 8617
19:06:56 148 8596
19:06:57 149 8601
19:06:58 123 8474
19:06:59 165 8534
19:07:00 206 8524
19:07:01 146 8379
19:07:02 183 8577
19:07:03 143 8382
19:07:04 130 8446
19:07:05 174 8355
19:07:06 192 8249
19:07:07 217 8314
19:07:08 216 10343
19:07:09 161 8263
19:07:10 205 8190
19:07:11 189 6165
19:07:12 222 10160
19:07:13 125 6346
19:07:14 168 8411
19:07:15 193 8213
19:07:16 185 8295
19:07:17 128 8182
19:07:18 107 6138
19:07:19 156 8260
19:07:20 124 8204
19:07:21 197 7822
19:07:22 166 6558
19:07:23 131 8196
19:07:24 155 8155
19:07:25 158 6050
19:07:26 210 8123
19:07:27 202 6297
19:07:28 127 6108
19:07:29 130 6113
19:07:30 172 8065
19:07:31 176 6176
19:07:32 121 6123
19:07:33 180 6053
19:07:34 86 6074
19:07:35 76 4138
19:07:36 124 6065
19:07:37 126 8030
19:07:38 128 6184
19:07:39 112 8079
19:07:40 141 6005
19:07:41 170 6140
19:07:42 206 8176
19:07:43 214 8010
19:07:44 192 7983
19:07:45 196 7503
19:07:46 194 6723
19:07:47 205 8028
19:07:48 141 8154
19:07:49 130 7977
19:07:50 122 6098
19:07:51 238 8145
19:07:52 190 8155
19:07:53 199 8000
19:07:54 173 8076
19:07:55 225 6172
19:07:56 160 8096
19:07:58 173 8147
19:07:59 238 8467
19:08:00 161 6213
19:08:01 188 6117
19:08:02 220 8174
19:08:03 161 8367
19:08:04 157 8318
19:08:05 145 6117
19:08:06 164 8369
19:08:07 217 10370
19:08:08 160 8289
19:08:09 151 8500
19:08:10 145 8315
19:08:11 119 6332
19:08:12 150 6400
19:08:13 210 8459
19:08:14 146 6452
19:08:15 118 6348
19:08:16 115 8617
19:08:17 136 6509
19:08:18 181 8584
19:08:19 112 6548
19:08:20 174 6552
19:08:21 129 6579
19:08:22 211 8791
19:08:23 146 8831
19:08:24 169 6622
19:08:25 104 4433
19:08:26 224 9008
19:08:27 157 6795
19:08:28 191 11316
19:08:29 185 9210
19:08:30 185 9253
19:08:31 140 9402
19:08:32 262 9612
19:08:33 170 7161
19:08:34 138 7238
19:08:35 134 9698
19:08:36 121 9828
19:08:37 134 7503
19:08:38 121 9926
19:08:39 141 10075
19:08:40 153 7629
19:08:41 150 10285
19:08:42 175 7810
19:08:43 151 10483
19:08:44 142 10667
19:08:45 135 8074
19:08:46 159 8170
19:08:47 113 8284
19:08:48 200 11307
19:08:49 169 8614
19:08:50 245 11562
19:08:51 113 5852
19:08:52 237 11801
19:08:53 190 8999
19:08:54 201 12262
19:08:55 167 9335
