procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 119064400 2948 138130256 0   0  1683 57826 5867    0  0  0 99  0  0  0
 1  0      0 119036420 2948 138132132 0   0     0     0 4790 7709  0  0 100 0  0  0
 0  0      0 118965648 2948 138148528 0   0     0 16419 7644 12637 0  0 100 0  0  0
82  0      0 116846468 2948 138171064 0   0     0     8 18903 11473 21 3 76 0  0  0
119 0      0 116535228 2948 138171520 0   0     0     0 112019 22010 70 13 17 0 0 0
120 0      0 116339284 2948 138171520 0   0     0     0 130743 9948 76 14 10 0 0  0
30  0      0 116424704 2948 138171520 0   0     0     0 124201 9620 67 12 21 0 0  0
 6  0      0 116620976 2948 138171560 0   0     0     0 69304 11384 8 1 90  0  0  0
10  0      0 116741440 2948 138170928 0   0     0     0 48417 4621 5  1 95  0  0  0
 6  0      0 116878120 2948 138170240 0   0     0     0 54741 3681 5  1 95  0  0  0
 7  0      0 117041260 2948 138168856 0   0     0     0 50452 4878 5  1 94  0  0  0
 3  0      0 117185232 2948 138167552 0   0     0     0 50134 6297 5  1 94  0  0  0
 9  0      0 117305544 2948 138166224 0   0     0     0 45697 4561 5  1 94  0  0  0
 6  0      0 117435304 2948 138163920 0   0     0     0 49287 3659 5  1 94  0  0  0
 0  0      0 117569684 2948 138161288 0   0     0     0 42754 11884 4 1 95  0  0  0
 2  0      0 117688168 2948 138158992 0   0     0     0 22479 4653 1  0 99  0  0  0
 2  0      0 117828268 2948 138156168 0   0     0     0 13346 3763 1  0 99  0  0  0
 0  0      0 117994576 2948 138153096 0   0     0     0 6020 3063  0  0 100 0  0  0
 0  0      0 118116148 2948 138150760 0   0     0     0 4102 3001  0  0 100 0  0  0
 0  0      0 118206964 2948 138150616 0   0     0     0 2064 2007  0  0 100 0  0  0
 1  0      0 118297808 2948 138165808 0   0     0 16384 3923 5706  0  0 100 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 118332848 2948 138165452 0   0     0     4 6235 10525 0  0 100 0  0  0
 0  0      0 118356400 2948 138165452 0   0     0     4 2530 3039  0  0 100 0  0  0
 0  0      0 118375240 2948 138165452 0   0     0    75 2004 2323  0  0 100 0  0  0
 0  0      0 118400144 2948 138165460 0   0     0     8 4334 6539  0  0 100 0  0  0
 0  0      0 118429592 2948 138165460 0   0     0     0 3057 4861  0  0 100 0  0  0
 1  0      0 118461616 2948 138165460 0   0     0     0 3236 3911  0  0 100 0  0  0
