procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 219546304   1600 37679988    0    0  6471 147709 30322   34  7  2 91  0  0  0
 0  0      0 219559368   1600 37679988    0    0     0     0 4725 5855  0  0 100  0  0  0
 3  1      0 218269036   1600 37861524    0    0     0 124176 16205 105124  1  1 98  0  0  0
77  1      0 215041940   1600 39462048    0    0     0 1082528 61074 652727 11  6 82  1  0  0
 1  1      0 213376864   1600 40457668    0    0     0 1068120 88381 672776 15  8 76  1  0  0
88  0      0 209800316   1600 41907140    0    0     0 1068536 112010 741592 15  8 76  1  0  0
 1  1      0 209306840   1600 42706952    0    0     0 1044800 141381 762788 18  6 75  0  0  0
39  2      0 206189696   1600 43941624    0    0     0 1003424 138201 755627 23 11 65  0  0  0
 1  1      0 206369016   1600 44633728    0    0     0 1051898 167286 868445 20  7 72  0  0  0
32  1      0 203011972   1600 45796408    0    0     0 1042408 142657 846585 27 13 60  0  0  0
 1  1      0 203206772   1600 46371864    0    0     0 1033924 172268 973776 24  8 68  0  0  0
12  2      0 200494424   1600 47477600    0    0     0 1184858 134647 668451 20  8 71  1  0  0
 1  1      0 201162376   1600 47988676    0    0     0 1310320 148489 586460 13  5 82  1  0  0
82  0      0 198564980   1600 49001820    0    0     0 1337360 138538 561002 22  9 68  1  0  0
114  2      0 199139448   1600 49545164    0    0     0 1377320 158944 681794 15  5 79  1  0  0
 1  2      0 198866616   1600 49550140    0    0     0 1287019 92715 338566 19  8 72  1  0  0
32  2      0 198215204   1600 50142264    0    0     0 1405436 115232 460644  7  3 90  1  0  0
 2  1      0 198147556   1600 50187960    0    0     0 1372506 97586 401688 15  7 77  1  0  0
132  0      0 196860464   1600 50733476    0    0     0 1295577 101959 430219 11  5 83  1  0  0
 2  1      0 197473492   1600 50767812    0    0     0 1315591 104528 444789 12  6 81  1  0  0
 8  1      0 195380520   1600 51260240    0    0     0 1214899 94845 400460 16  8 75  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1      0 196910060   1600 51228244    0    0     0 1184874 109556 467021 10  4 85  1  0  0
119  0      0 196962312   1600 51245672    0    0     0 1187364 94003 413185 21  9 69  1  0  0
33  1      0 196433108   1600 51724436    0    0     0 1200570 114367 527983  9  4 86  1  0  0
 1  1      0 196196548   1600 51708564    0    0     0 1190365 95931 474645 19  9 72  1  0  0
37  0      0 195014584   1600 52200440    0    0     0 1180684 107054 520197 14  5 80  1  0  0
 2  1      0 195499828   1600 52184236    0    0     0 1195113 109482 555494 16  7 76  1  0  0
33  1      0 193466736   1600 52709700    0    0     0 1193443 107381 580386 21 11 67  1  0  0
 1  1      0 194752728   1600 52695248    0    0     0 1185785 120525 639422 18  7 74  1  0  0
 6  2      0 192739604   1600 53186932    0    0     0 1187098 113715 620800 20  8 70  1  0  0
 1  1      0 194372168   1600 53176508    0    0     0 1202054 127437 752261 18  7 74  1  0  0
25  1      0 192370092   1600 53610352    0    0     0 1189997 117592 724382 27 11 62  1  0  0
 1  1      0 193531344   1600 53692472    0    0     0 1185519 133070 881493 21  9 70  1  0  0
24  0      0 191609124   1600 54175712    0    0     0 1188643 122994 898288 32 13 55  0  0  0
 3  0      0 192791656   1600 54228976    0    0     0 1192367 153142 1114122 24  9 66  0  0  0
194  0      0 190610932   1600 54732000    0    0     0 1189373 133064 1134654 39 15 46  0  0  0
126  1      0 191769608   1600 54754748    0    0     0 1205013 166761 1506313 36 13 51  0  0  0
39  0      0 190409560   1600 55278780    0    0     0 1154817 157782 1710155 48 18 34  0  0  0
208  1      0 191329360   1600 55273820    0    0     0 1190381 158393 2516546 62 19 19  0  0  0
180  1      0 190888444   1600 55771084    0    0     0 1167804 165367 3210319 67 21 11  0  0  0
218  2      0 188847208   1600 56101880    0    0     0 1117030 149020 2259610 71 22  7  0  0  0
279  1      0 190533268   1600 55938564    0    0     0 1103174 175287 2842305 71 21  7  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
197  2      0 190305856   1600 56278736    0    0     0 1209972 168817 2997766 69 23  8  0  0  0
227  0      0 188614020   1600 56477972    0    0     0 1232999 124014 2181322 71 22  7  0  0  0
167  0      0 190760392   1600 56185268    0    0     0 1275016 140319 3042017 65 19 15  0  0  0
 6  1      0 188567700   1600 56691012    0    0     0 1230291 86266 541710 19  8 72  1  0  0
106  0      0 190291404   1600 56639012    0    0     0 1224617 88876 351611  6  2 91  1  0  0
 2  2      0 189938744   1600 56578868    0    0     0 1196384 82094 320223 18  7 74  1  0  0
35  1      0 189190336   1600 57068432    0    0     0 1199064 93247 383070 10  3 86  1  0  0
 6  1      0 189486712   1600 57019520    0    0     0 1189100 83736 345404 16  6 77  1  0  0
32  1      0 188215496   1600 57494424    0    0     0 1191669 86567 380191 12  5 82  1  0  0
 1  1      0 188998064   1600 57445316    0    0     0 1184997 89488 376679 14  6 80  1  0  0
16  1      0 187037968   1600 57904100    0    0     0 1187506 82461 355103 15  6 78  1  0  0
115  2      0 188591984   1600 57855016    0    0     0 1196015 97310 437887 11  4 85  1  0  0
133  2      0 188592084   1600 57838704    0    0     0 1200761 83342 382782 18  7 74  1  0  0
32  1      0 188112212   1600 58297488    0    0     0 1184320 96372 448941  8  3 88  1  0  0
 2  1      0 187991764   1600 58248504    0    0     0 1187690 84407 396770 15  7 78  1  0  0
34  1      0 187287648   1600 58723756    0    0     0 1191240 95797 468971 12  4 83  1  0  0
150  1      0 187883644   1600 58658452    0    0     0 1190001 92922 439393 16  8 75  1  0  0
156  1      0 185876912   1600 59133832    0    0     0 1192115 92208 481219 18  9 72  1  0  0
 1  1      0 187338064   1600 59101156    0    0     0 1188591 101938 517055 13  4 82  1  0  0
 9  1      0 185369968   1600 59593088    0    0     0 1199931 96640 514198 17  8 74  1  0  0
 7  1      0 186987648   1600 59544412    0    0     0 1183137 108150 557836 12  4 84  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
22  1      0 184940428   1600 60003436    0    0     0 1183040 97954 542284 22  9 68  1  0  0
 1  1      0 186406424   1600 60003852    0    0     0 1212542 111210 649042 14  5 81  1  0  0
 1  1      0 186440384   1600 59971564    0    0     0 1176418 93126 574844 24  9 66  1  0  0
32  2      0 186194880   1600 60430560    0    0     0 1197260 118279 710821 13  5 82  1  0  0
 2  2      0 186246040   1600 60381984    0    0     0 1188528 102760 664898 24 10 66  1  0  0
189  1      0 185458308   1600 60857500    0    0     0 1185864 122175 801702 21  7 71  1  0  0
 1  1      0 185692996   1600 60841528    0    0     0 1191500 117370 853713 28 11 61  0  0  0
186  1      0 184675400   1600 61349724    0    0     0 1196258 135337 982869 28 10 61  0  0  0
 3  0      0 184982860   1600 61333628    0    0     0 1187014 141656 1074523 34 14 52  0  0  0
186  1      0 184304704   1600 61858416    0    0     0 1197173 151813 1305589 35 12 53  0  0  0
 3  1      0 184557192   1600 61842900    0    0     0 1185465 150596 1449759 43 15 42  0  0  0
