procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 209669276   1600 47035656    0    0 12913 202355 23545   17  5  1 94  0  0  0
 1  0      0 209637276   1600 47035724    0    0    40     0 22225 46972  2  1 98  0  0  0
 1  1      0 208902896   1600 47103900    0    0     0 98645 30735 104087  2  1 97  0  0  0
 0  1      0 208021908   1600 47859488    0    0     0 937314 50281 324369  4  3 93  1  0  0
 0  1      0 207172456   1600 48439704    0    0     0 971901 58316 471563  6  4 90  1  0  0
16  1      0 206349580   1600 48837060    0    0     0 948952 68006 629073  8  4 87  1  0  0
 5  1      0 205352784   1600 49170548    0    0     0 955196 89744 663076  9  4 87  1  0  0
64  0      0 204661664   1600 49454420    0    0     0 924424 112801 680455  9  5 86  1  0  0
107  0      0 203909128   1600 49676944    0    0     0 927744 146133 718338 11  6 82  1  0  0
 1  1      0 203093260   1600 49861612    0    0     0 949400 150205 755503 11  5 83  1  0  0
 0  1      0 202486828   1600 49986328    0    0     0 958560 154201 803021 14  7 79  1  0  0
116  0      0 201924436   1600 50100052    0    0     0 878168 150431 805795 18  8 74  1  0  0
86  0      0 201416620   1600 50159316    0    0     0 851968 155251 842956 19  8 73  0  0  0
 1  2      0 201244608   1600 50202716    0    0     0 958308 126945 557725  9  4 86  1  0  0
 3  0      0 200717892   1600 50569216    0    0     0 1031957 92165 294843  6  2 91  1  0  0
 1  1      0 200154352   1600 51002084    0    0     0 1052831 84267 260448  4  1 94  1  0  0
 0  2      0 199432056   1600 51486744    0    0     0 1182871 93662 299664  7  2 90  1  0  0
 0  1      0 198592132   1600 52013888    0    0     0 1214379 100519 335327  9  4 87  1  0  0
 3  1      0 198244020   1600 52513256    0    0     0 1196728 96219 334319  4  2 93  1  0  0
 1  2      0 197673100   1600 53023896    0    0     0 1212034 99576 340641  8  4 87  1  0  0
 0  1      0 197004048   1600 53534412    0    0     0 1220444 100394 343676  8  4 88  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  2      0 196215960   1600 54044436    0    0     0 1215622 100458 379786  5  2 92  1  0  0
 0  1      0 195752220   1600 54537656    0    0     0 1154592 103296 371210  7  3 89  1  0  0
 2  1      0 195211952   1600 55054996    0    0     0 1122240 95816 364334  5  3 91  1  0  0
 1  2      0 194591652   1600 55547824    0    0     0 1158452 101619 395347  7  3 89  1  0  0
102  0      0 194047504   1600 55991312    0    0     0 1106070 96411 368340  7  4 88  1  0  0
 3  0      0 193552836   1600 56434304    0    0     0 1043726 98559 389069  9  3 87  1  0  0
 3  0      0 193098564   1600 56877444    0    0     0 1022815 94870 396631  9  4 86  1  0  0
 2  0      0 192529356   1600 57303980    0    0     0 1014644 97243 400408 10  4 85  1  0  0
146  2      0 192045976   1600 57714020    0    0     0 990408 97719 403829  7  3 89  1  0  0
 2  1      0 191496064   1600 58140420    0    0     0 986008 97725 419031  9  4 87  1  0  0
 1  1      0 190868212   1600 58583132    0    0     0 1028060 105103 465808 11  5 84  1  0  0
 1  0      0 190348256   1600 59025768    0    0     0 1038292 105808 484086  9  4 87  1  0  0
 1  1      0 189785264   1600 59468328    0    0     0 1057820 104872 494599 11  5 83  1  0  0
 0  1      0 189244136   1600 59927336    0    0     0 1084149 112029 531225 10  4 85  1  0  0
 0  2      0 188465984   1600 60400320    0    0     0 1084198 113732 583002 12  5 82  1  0  0
16  1      0 188008704   1600 60908476    0    0     0 1173394 119234 660718 14  6 79  1  0  0
 2  0      0 187450524   1600 61420032    0    0     0 1163661 124567 700340 15  7 77  1  0  0
 0  1      0 186774204   1600 61942296    0    0     0 1163631 131843 767842 18  8 73  1  0  0
 0  1      0 186187372   1600 62450876    0    0     0 1137531 135241 845035 18  8 73  1  0  0
 2  1      0 185609232   1600 62961660    0    0     0 1168631 134910 933296 21  8 71  1  0  0
