timestamp rx_kb/s tx_kb/s
05:11:38 0 0
05:11:39 447 24098
05:11:40 1097 76552
05:11:41 1292 86584
05:11:42 96 8130
05:11:43 1412 91904
05:11:44 1432 89769
05:11:45 1490 87403
05:11:46 1212 68006
05:11:47 425 23690
05:11:48 1400 94030
05:11:49 1449 92438
05:11:50 1412 88406
05:11:51 1278 85151
05:11:52 365 100
05:11:53 981 83673
05:11:54 1147 80062
05:11:55 1194 77981
05:11:56 1204 75016
05:11:57 1119 63770
05:11:58 64 8375
05:11:59 1108 69661
05:12:00 1407 67356
05:12:01 1339 64740
05:12:02 1263 62319
05:12:03 421 84
05:12:04 1033 60569
05:12:05 1241 57679
05:12:06 1370 55220
05:12:07 1162 53023
05:12:08 1107 44401
05:12:09 235 7908
05:12:10 1215 50620
05:12:11 1115 47424
05:12:12 1218 46144
05:12:13 1251 44723
05:12:14 1140 40597
05:12:15 154 3049
05:12:16 1090 42902
05:12:17 1174 53418
05:12:18 1349 72767
05:12:19 1194 71246
05:12:20 847 38651
05:12:21 472 30901
05:12:22 1150 69396
05:12:23 1368 68456
05:12:24 1303 67293
05:12:25 398 94
05:12:26 876 66208
05:12:27 1167 64686
05:12:28 1243 64084
05:12:29 1131 62917
05:12:30 218 8
05:12:31 1024 62586
05:12:32 1104 61474
05:12:33 1230 61310
05:12:34 351 85
05:12:35 801 59320
05:12:36 1292 59679
05:12:37 389 92
05:12:38 837 58005
05:12:39 1094 57508
05:12:40 13 5
05:12:41 1150 56618
05:12:42 1205 55783
05:12:43 12 3
05:12:44 1286 55383
05:12:45 1281 55112
05:12:46 8 3
05:12:47 1302 54787
05:12:48 1193 54251
05:12:49 1026 53188
05:12:50 1078 53206
05:12:51 980 52051
05:12:52 662 9697
05:12:53 798 42433
05:12:54 705 51396
05:12:55 1032 52124
05:12:56 1255 51143
05:12:57 1284 51945
05:12:58 1410 52941
05:12:59 1163 52302
05:13:00 1197 53501
05:13:01 1041 53612
05:13:02 1120 54731
05:13:03 404 100
05:13:04 1000 57259
05:13:05 1137 59297
05:13:06 1246 64129
05:13:07 1174 67207
05:13:08 1204 73812
05:13:09 436 94
05:13:10 817 83646
05:13:11 1329 95423
05:13:12 1687 111585
05:13:13 1484 120571
05:13:14 25 99
05:13:15 1329 127529
05:13:16 1274 129311
