procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 219396412   1600 37872820    0    0  8642 91945 11713    8  2  1 97  0  0  0
 0  0      0 219402048   1600 37872804    0    0     0     0 4460 5258  0  0 100  0  0  0
 2  1      0 216595812   1600 38799284    0    0     0 590840 37661 392584  4  4 91  0  0  0
14  1      0 212862820   1600 40216700    0    0     0 1064968 80133 641337 18  8 73  1  0  0
76  1      0 212420084   1600 41372344    0    0     0 1152600 86207 782911 10  5 84  1  0  0
15  1      0 208667396   1600 42756600    0    0     0 1068792 117110 736634 23 12 65  0  0  0
16  1      0 208429176   1600 43668420    0    0     0 1132148 143226 898980 15  7 78  0  0  0
22  1      0 204938944   1600 44887268    0    0     0 1094256 133798 817523 26 12 61  0  0  0
 2  1      0 204597572   1600 45837132    0    0     0 1249852 175340 1109952 21  9 69  0  0  0
20  1      0 201446788   1600 47059988    0    0     0 1136896 147570 978372 34 14 51  0  0  0
 1  1      0 201673640   1600 47825320    0    0     0 1356156 150387 799912 17  7 75  1  0  0
 7  1      0 200248160   1600 48518220    0    0     0 1469440 135733 578927 25 10 64  1  0  0
 7  1      0 199484188   1600 49561748    0    0     0 1519049 158002 737676 12  6 82  1  0  0
 1  2      0 198779564   1600 49935560    0    0     0 1422299 119803 530382 22  9 68  1  0  0
34  1      0 197746292   1600 50511364    0    0     0 1385139 106458 446050 11  4 84  1  0  0
 2  0      0 197932140   1600 50480408    0    0     0 1184131 93155 364273 14  7 78  1  0  0
36  2      0 196274836   1600 50988956    0    0     0 1202962 90655 391585 12  7 81  1  0  0
 1  1      0 197324992   1600 50957516    0    0     0 1189158 99482 407653 13  4 82  1  0  0
13  1      0 195440196   1600 51448372    0    0     0 1181923 93262 380713 18  9 73  1  0  0
110  0      0 196975672   1600 51416752    0    0     0 1191895 104166 451059 11  5 84  1  0  0
 1  2      0 196940204   1600 51401444    0    0     0 1198402 91370 395734 21  9 69  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
36  1      0 196359312   1600 51893316    0    0     0 1190548 107190 512854 10  4 85  1  0  0
 1  1      0 196222256   1600 51905600    0    0     0 1185330 95497 462531 20  9 71  1  0  0
32  1      0 194889352   1600 52413856    0    0     0 1198061 103690 537028 16  7 77  1  0  0
 2  1      0 195571048   1600 52397840    0    0     0 1197957 110421 542520 18  7 74  1  0  0
20  1      0 193551412   1600 52889628    0    0     0 1175630 98804 533620 18  9 72  1  0  0
 1  1      0 195040956   1600 52873580    0    0     0 1193820 121356 622618 15  5 79  1  0  0
19  2      0 193530324   1600 53185100    0    0     0 1197595 104933 579476 26 10 63  1  0  0
10  1      0 194301088   1600 53371252    0    0     0 1189441 124617 723029 14  6 80  1  0  0
 2  1      0 193592240   1600 53372368    0    0     0 1188603 106512 648732 26 10 63  1  0  0
