procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 175560892   1600 80887528    0    0  6692 172978 32162   35  7  2 90  0  0  0
 1  0      0 175645956   1600 80887544    0    0     0     4 15913 30456  1  0 99  0  0  0
 0  0      0 175437400   1600 80887580    0    0     0   256 21778 46006  1  1 98  0  0  0
 2  1      0 173921232   1600 81599840    0    0     0 854356 42975 303516  4  3 92  0  0  0
48  0      0 173049752   1600 82250792    0    0     0 1106351 56233 510966  6  4 90  1  0  0
 0  1      0 172173268   1600 82697816    0    0     0 1094656 72217 706020  9  5 86  1  0  0
87  1      0 171167784   1600 83078544    0    0     0 1084416 99130 743196  9  5 86  1  0  0
90  0      0 170417692   1600 83364496    0    0     0 1064968 113348 795214 13  6 80  0  0  0
78  0      0 169583316   1600 83575496    0    0     0 1043280 130713 824032 14  7 78  0  0  0
 0  1      0 168810384   1600 83742128    0    0     0 1021528 132095 862902 14  6 79  1  0  0
 0  1      0 168029276   1600 83857512    0    0     0 1043472 143543 938475 18  8 74  0  0  0
 2  1      0 167299216   1600 84108768    0    0     0 1098461 140935 908642 19  9 72  0  0  0
 1  1      0 166506864   1600 84766640    0    0     0 1250867 96370 488029  9  4 87  1  0  0
 0  1      0 165821568   1600 85331564    0    0     0 1384613 86998 312045  6  2 91  1  0  0
 4  2      0 165074984   1600 85896452    0    0     0 1331378 92130 338594  6  3 91  1  0  0
 0  1      0 164407560   1600 86458836    0    0     0 1316652 88238 331247  5  2 92  1  0  0
 0  2      0 163743124   1600 87032272    0    0     0 1360576 91736 346986  6  3 90  1  0  0
 2  2      0 162982580   1600 87593452    0    0     0 1364796 97282 368067  4  2 93  1  0  0
 0  1      0 162356816   1600 88170140    0    0     0 1351117 92750 376224  7  3 89  1  0  0
 0  2      0 161658440   1600 88730012    0    0     0 1297403 97783 405853  4  2 93  1  0  0
 0  2      0 161004724   1600 89256712    0    0     0 1263149 91974 383386  3  1 94  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 160399176   1600 89749912    0    0     0 1192417 86848 370419  7  3 89  1  0  0
 1  2      0 159871596   1600 90226652    0    0     0 1180505 92165 386485  6  3 90  1  0  0
 4  1      0 159315636   1600 90730668    0    0     0 1194166 93117 403265  8  4 87  1  0  0
126  0      0 158716828   1600 91226660    0    0     0 1187899 91360 419243  7  3 89  1  0  0
 6  0      0 158007744   1600 91724780    0    0     0 1191078 93741 421179  8  3 88  1  0  0
139  2      0 157412904   1600 92217504    0    0     0 1195696 96926 446945  9  5 86  1  0  0
 0  2      0 156823188   1600 92744684    0    0     0 1199683 99540 472397  9  5 85  1  0  0
28  0      0 156195752   1600 93247536    0    0     0 1176878 100015 483503  9  4 86  1  0  0
 0  2      0 155568648   1600 93760812    0    0    64 1201048 99467 519164  9  4 86  1  0  0
 6  0      0 154826592   1600 94273784    0    0     0 1180850 107650 548555  9  4 86  1  0  0
 8  1      0 154273536   1600 94815776    0    0     0 1198364 103985 590090 12  5 82  1  0  0
141  0      0 153690412   1600 95323804    0    0     0 1185783 109335 618799 11  5 84  1  0  0
 0  1      0 153083588   1600 95831816    0    0     0 1199025 111815 644586 15  6 78  1  0  0
162  1      0 152388016   1600 96339792    0    0     0 1181869 117075 699227 14  6 79  1  0  0
140  2      0 151884672   1600 96831416    0    0     0 1145221 110016 720508 16  6 77  1  0  0
 0  1      0 151238516   1600 97339492    0    0     0 1157707 120743 806190 17  8 74  1  0  0
 4  1      0 150576372   1600 97847520    0    0     0 1146162 120243 868780 18  7 75  1  0  0
 1  1      0 150002696   1600 98355596    0    0     0 1154882 131199 1006595 23  9 68  0  0  0
 0  1      0 149418056   1600 98850524    0    0     0 1136688 139805 1085469 25  9 65  0  0  0
72  0      0 148697880   1600 99335588    0    0     0 1104183 148308 1210273 26 10 64  0  0  0
211  1      0 148043132   1600 99842216    0    0     0 1107494 157896 1438736 32 12 56  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 147565660   1600 100322800    0    0     0 1083027 165192 1694753 38 14 47  0  0  0
187  0      0 147059416   1600 100823252    0    0     0 1096864 187301 2203988 48 18 34  0  0  0
191  1      0 146518140   1600 101313616    0    0     0 1108842 172585 2932671 63 22 15  0  0  0
228  0      0 146107824   1600 101693516    0    0     0 1088482 160986 3146430 65 21 14  0  0  0
225  0      0 145728148   1600 102017896    0    0     0 1031182 157126 3162277 63 20 17  0  0  0
201  1      0 145358564   1600 102359692    0    0     0 1122161 140323 3113451 64 19 17  0  0  0
223  0      0 145093344   1600 102592924    0    0     0 1203342 139994 3115598 62 20 18  0  0  0
