procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 153178156   1600 94483108    0    0     0 1203652 106731 613563 11  4 84  1  0  0
17  1      0 152622804   1600 94974836    0    0     0 1184508 115772 674194 14  5 80  1  0  0
 2  1      0 152258272   1600 95466692    0    0     0 1187776 118548 711774 20  7 73  1  0  0
 4  0      0 151774592   1600 95942064    0    0     0 1146742 114246 736615 17  6 76  1  0  0
172  0      0 151229136   1600 96450276    0    0     0 1234005 126124 828315 15  6 78  1  0  0
 4  1      0 150700460   1600 96974872    0    0     0 1195625 136680 912935 22  8 70  0  0  0
160  0      0 150321316   1600 97483192    0    0     0 1193283 137645 964404 23  9 68  0  0  0
172  0      0 149747248   1600 97975084    0    0     0 1185327 149513 1065872 26 10 64  0  0  0
137  1      0 149215376   1600 98499828    0    0     0 1204842 155848 1223579 30 11 59  0  0  0
192  1      0 148356024   1600 99024640    0    0     0 1185622 163799 1455887 34 12 54  0  0  0
196  1      0 148271244   1600 99549636    0    0     0 1189886 189663 1772683 37 14 49  0  0  0
118  0      0 147813256   1600 100058668    0    0     0 1186886 183967 2091923 50 17 33  0  0  0
 3  1      0 147241768   1600 100583968    0    0     0 1197730 192576 2835411 59 19 22  0  0  0
178  1      0 146817196   1600 101043860    0    0     0 1185740 152000 3202210 67 18 14  0  0  0
140  1      0 146258296   1600 101568488    0    0     0 1193304 177879 1847961 39 13 48  0  0  0
214  1      0 145819152   1600 102014628    0    0     0 1197085 165960 2427188 56 17 27  0  0  0
243  0      0 145496656   1600 102342356    0    0     0 1183102 163019 3361608 70 20  9  0  0  0
181  0      0 145203120   1600 102637204    0    0     0 1173885 152470 3121558 70 18 12  0  0  0
244  1      0 144984496   1600 102899568    0    0     0 1199391 149966 3368984 65 18 16  0  0  0
197  0      0 144744428   1600 103161820    0    0     0 1187502 143120 3143146 68 18 14  0  0  0
249  0      0 144451264   1600 103424024    0    0     0 1206192 148610 3365979 65 19 16  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
256  1      0 144218680   1600 103686316    0    0     0 1205744 144487 3116142 67 18 15  0  0  0
156  0      0 143985892   1600 103932356    0    0     0 1174556 148399 3376124 66 18 16  0  0  0
215  0      0 143169960   1600 104178304    0    0     0 1175999 150310 3133486 67 18 15  0  0  0
236  0      0 143449656   1600 104424296    0    0     0 1187211 156289 3359918 66 18 16  0  0  0
262  0      0 143047444   1600 104789852    0    0     0 1093084 170361 3370262 65 18 17  0  0  0
 8  0      0 160855080   1600 87055972    0    0     0 790392 121524 1961262 44 11 45  0  0  0
21  0      0 160276688   1600 87563892    0    0     0 1257123 94860 386236  8  3 89  1  0  0
 1  1      0 159700492   1600 88055436    0    0     0 1263511 91582 361415  9  3 88  1  0  0
 2  1      0 159212760   1600 88546988    0    0     0 1244397 93545 374283 10  4 85  1  0  0
 1  1      0 158674800   1600 89038524    0    0     0 1281177 99091 396047  6  2 91  1  0  0
 5  0      0 158246272   1600 89546456    0    0     0 1289978 99274 405821 10  4 86  1  0  0
 3  0      0 157768848   1600 90054388    0    0     0 1265771 93154 398844 10  4 85  1  0  0
16  1      0 157092436   1600 90562308    0    0     0 1253901 98476 444197 10  4 86  1  0  0
 1  1      0 156562016   1600 91037480    0    0     0 1199601 98327 412761  8  3 88  1  0  0
 1  1      0 156058572   1600 91512672    0    0     0 1194733 94714 412494 11  4 84  1  0  0
 0  1      0 155562720   1600 91987816    0    0     0 1185341 97895 458359  8  3 88  1  0  0
133  2      0 155117708   1600 92462988    0    0     0 1195939 102768 462889 13  5 81  1  0  0
61  0      0 154727684   1600 92954028    0    0     0 1183667 105404 483165 11  4 84  1  0  0
11  1      0 154162452   1600 93413312    0    0     0 1185825 97224 481953  9  3 87  1  0  0
142  0      0 153744624   1600 93904856    0    0     0 1195888 105623 505404 11  4 83  1  0  0
 2  1      0 153357456   1600 94380016    0    0     0 1198240 104824 511338 12  4 83  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 152846888   1600 94871576    0    0     0 1199683 112105 579120  8  4 88  1  0  0
 1  1      0 152296380   1600 95346748    0    0     0 1185774 109653 569604 13  5 81  1  0  0
 5  2      0 151905768   1600 95821916    0    0     0 1187433 108695 575491 14  6 79  1  0  0
 0  1      0 151377772   1600 96313448    0    0     0 1196303 122584 678682 12  5 82  1  0  0
 3  1      0 150906200   1600 96805104    0    0     0 1184111 118275 680805 16  6 78  1  0  0
